ISBN 13,Amazon Category,Reviews,Rating,Book Name,Author,Publishing Date,Quality,Price,Age Group,1113
9781510105249,100 Lifetime Adults,"25,746",4.5,"Shadow and Bone: 1 (The Shadow and Bone Trilogy, 1)",Leigh Bardugo,7 May 2013,Paperback,778,Ages: 12 years and up,https://www.bookdepository.com/Shadow-Bone-Leigh-Bardugo/9781250027436?ref=grid-view&qid=1656929997500&sr=1-4
9783423716512,100 Lifetime Adults,"24,640",4.6,Throne of Glass: 1,Sarah J. Maas,7 May 2013,Paperback,837,Mixed,https://www.bookdepository.com/Throne-Glass-1-Die-Erw%C3%A4hlte-Sarah-J-Maas/9783423716512?ref=grid-view&qid=1656930630096&sr=1-1
9781847394071,100 Lifetime Adults,"20,116",4.6,The Perks of Being a Wallflower,Stephen Chbosky,14 August 2012,Paperback,308,Mixed,https://www.bookdepository.com/Perks-Being-Wallflower-Stephen-Chbosky/9781451696196?ref=grid-view&qid=1656929078233&sr=1-4
9780345514400,100 Lifetime Adults,"17,146",4.6,I Know Why the Caged Bird Sings,Maya Angelou,21 April 2009,Mass Market Paperback,571,Mixed,https://www.bookdepository.com/I-Know-Why-Caged-Bird-Sings-Maya-Angelou/9780345514400?ref=grid-view&qid=1656930130450&sr=1-1
9781472222183,100 Lifetime Adults,"16,240",4.6,The Invention of Wings,Sue Monk Kidd,29 March 2014,Hardcover,288,Mixed,https://www.bookdepository.com/Invention-Wings-Sue-Monk-Kidd/9781472222183?ref=grid-view&qid=1656930802641&sr=1-1
9780356500843,100 Lifetime Adults,"14,172",4.6,Ender's Game: Book 1 of the Ender Saga,Orson Scott Card,1 December 2011,Paperback,334,Mixed,https://www.bookdepository.com/Enders-Game-Orson-Scott-Card/9780356500843?ref=grid-view&qid=1656929570355&sr=1-1
9781841593425,100 Lifetime Adults,"11,894",4.7,"His Dark Materials Gift Edition Including All Three Novels Northern Light, The Subtle Knife And Th: Gift Edition including all three novels: Northern Lights, The Subtle Knife and The Amber Spyglass",Philip Pullman,28 October 2011,Hardcover,"1,071",Mixed,https://www.bookdepository.com/His-Dark-Materials-Philip-Pullman-Lucy-Hughes-Hallett/9781841593425
9780099572831,100 Lifetime Adults,"11,545",4.3,The Curious Incident of the Dog in the Night-time: Vintage Children's Classics,Mark Haddon,2 August 2012,Paperback,285,Mixed,https://www.bookdepository.com/Curious-Incident-Dog-Night-time-Mark-Haddon/9780099572831?ref=grid-view&qid=1656929061938&sr=1-1
9780141328294,100 Lifetime Adults,"11,007",4.4,Thirteen Reasons Why,Jay Asher,6 August 2009,Paperback,297,Mixed,https://www.bookdepository.com/Thirteen-Reasons-Why-Jay-Asher/9780141328294?ref=grid-view&qid=1656929824841&sr=1-1
9781409150725,100 Lifetime Adults,"10,698",4.5,Red Queen: 0: Red Queen Book 1,Victoria Aveyard,20 August 2015,Paperback,365,Mixed,https://www.bookdepository.com/Red-Queen-Victoria-Aveyard/9781409150725?ref=grid-view&qid=1656929159144&sr=1-1
9781594746031,100 Lifetime Adults,"10,508",4.5,Miss Peregrine's Home for Peculiar Children: 1 (Miss Peregrine's Peculiar Children),Ransom Riggs,11 June 2013,Paperback,739,Mixed,https://www.bookdepository.com/Miss-Peregrines-Home-for-Peculiar-Children-Ransom-Riggs/9781594746031?ref=grid-view&qid=1656929725546&sr=1-1
9780349001326,100 Lifetime Adults,"10,465",4.8,Twilight Saga 5 Book Set (White Cover),Stephenie Meyer,11 October 2012,Paperback,"2,358",Mixed,https://www.bookdepository.com/Twilight-Saga-5-Book-Set-White-Cover-Stephenie-Meyer/9780349001326?ref=grid-view&qid=1656929706136&sr=1-1
9781406362169,100 Lifetime Adults,"10,281",4.5,The Mortal Instruments 1: City of Bones,Cassandra Clare,2 July 2015,Paperback,307,Mixed,https://www.bookdepository.com/Mortal-Instruments-1-City-Bones-Cassandra-Clare/9781406362169?ref=grid-view&qid=1656929494070&sr=1-3
9780156030083,100 Lifetime Adults,"9,465",4.7,Flowers for Algernon,Daniel Keyes,14 June 2004,Mass Market Paperback,770,Mixed,https://www.bookdepository.com/Flowers-for-Algernon-Daniel-Keyes/9780156030083?ref=grid-view&qid=1656929808556&sr=1-1
9780156035217,100 Lifetime Adults,"9,096",4.7,PRINCESS BRIDE: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,8 October 2007,Mass Market Paperback,223,Mixed,https://www.bookdepository.com/Princess-Bride-William-Goldman/9780156035217?ref=grid-view&qid=1656930290058&sr=1-1
9781474607254,100 Lifetime Adults,"8,729",4.6,The Color Purple,Alice Walker,5 June 2014,Paperback,330,Mixed,https://www.bookdepository.com/Color-Purple-Alice-Walker/9781474607254?ref=grid-view&qid=1656929108021&sr=1-1
9780141185064,100 Lifetime Adults,"8,604",4.6,Grapes of Wrath (Penguin Modern Classics),John Steinbeck,13 May 2011,Paperback,539,Mixed,https://www.bookdepository.com/Grapes-Wrath-Mr-John-Steinbeck/9780141185064?ref=grid-view&qid=1656929429553&sr=1-1
9780330351690,100 Lifetime Adults,"8,522",4.6,Into the Wild,Jon Krakauer,1 July 2011,Paperback,316,Mixed,https://www.bookdepository.com/Into-Wild-Jon-Krakauer/9780330351690?ref=grid-view&qid=1656929338943&sr=1-1
9780345453747,100 Lifetime Adults,"8,519",4.5,The Ultimate Hitchhiker's Guide to the Galaxy: Five Novels in One Outrageous Volume,Douglas Adams,30 April 2002,Paperback,"1,600",Mixed,https://www.bookdepository.com/The-Ultimate-Hitchhikers-Guide-the-Galaxy-Douglas-Adams/9780345453747
9781909531239,100 Lifetime Adults,"8,446",4.3,"If I Stay (If I Stay, 1)",Gayle Forman,7 September 2014,Paperback,368,Mixed,https://www.bookdepository.com/If-I-Stay-Gayle-Forman/9781909531239?ref=grid-view&qid=1656929641647&sr=1-1
9780141014081,100 Lifetime Adults,"8,005",4.8,The Complete MAUS,Art Spiegelman,2 October 2003,Paperback,779,Mixed,https://www.bookdepository.com/Complete-MAUS-Art-Spiegelman/9780141014081?ref=grid-view&qid=1656929124955&sr=1-1
9780553496642,100 Lifetime Adults,"7,812",4.5,"Everything, Everything",Nicola Yoon,3 September 2015,Paperback,285,Mixed,https://www.bookdepository.com/Everything-Everything-Nicola-Yoon/9780553496642?ref=grid-view&qid=1656929250665&sr=1-2
9780141340135,100 Lifetime Adults,"6,399",4.6,The Lunar Chronicles - Cinder,Marissa Meyer,15 February 2012,Paperback,320,Ages: 9 years and up,https://www.bookdepository.com/Cinder-Lunar-Chronicles-Book-1-Marissa-Meyer/9780141340135?ref=grid-view&qid=1656929465997&sr=1-1
9781250012579,100 Lifetime Adults,"6,166",4.5,Eleanor & Park,Rainbow Rowell,28 February 2013,Paperback,351,Ages: 7 years and up,https://www.bookdepository.com/Eleanor-Park-Rainbow-Rowell/9781250012579?ref=grid-view&qid=1656929263653&sr=1-3
9780008108427,100 Lifetime Adults,"6,037",4.5,An Ember in the Ashes: Book 1 (Ember Quartet),Sabaa Tahir,13 July 2015,Paperback,286,Mixed,https://www.bookdepository.com/Ember-Ashes-Ember-Quartet-Book-1-Sabaa-Tahir/9780008108427?ref=grid-view&qid=1656930746298&sr=1-1
9780755322824,100 Lifetime Adults,"5,873",4.5,Stardust,Neil Gaiman,30 September 2010,Kindle Edition,262,Mixed,https://www.bookdepository.com/Stardust-Neil-Gaiman/9780755322824?ref=grid-view&qid=1656930787725&sr=1-1
9780552552097,100 Lifetime Adults,"5,644",4.6,"Eragon: Christopher Paolini (The Inheritance Cycle) (The Inheritance Cycle, 1)",Christopher Paolini,6 January 2005,Paperback,450,Ages: 12 years and up,https://www.bookdepository.com/Eragon-Christopher-Paolini/9780552552097?ref=grid-view&qid=1656929480706&sr=1-1
9780141439648,100 Lifetime Adults,"5,629",4.4,The Adventures of Huckleberry Finn (Penguin Classics),Mark Twain,30 January 2003,Paperback,207,Mixed,https://www.bookdepository.com/Adventures-Huckleberry-Finn-Mark-Twain/9780141439648?ref=grid-view&qid=1656929416120&sr=1-1
9781447263227,100 Lifetime Adults,"5,453",4.4,Fangirl,Rainbow Rowell,30 January 2014,Paperback,313,Mixed,https://www.bookdepository.com/Fangirl-Rainbow-Rowell/9781447263227?ref=grid-view&qid=1656929214725&sr=1-1
9781780622163,100 Lifetime Adults,"5,322",4.7,I Am Malala: How One Girl Stood Up for Education and Changed the World: How One Girl Stood Up for Education and Changed the World; Teen Edition Retold by Malala for her Own Generation,Malala Yousafzai,2 October 2015,Paperback,338,Mixed,https://www.bookdepository.com/I-Am-Malala-Malala-Yousafzai/9781780622163?ref=grid-view&qid=1656929772569&sr=1-1
9780141339603,100 Lifetime Adults,"5,136",4.6,Legend: 1,Marie Lu,29 November 2011,Hardcover,246,Ages: 12 years and up,https://www.bookdepository.com/Legend-Marie-Lu/9780141339603?ref=grid-view&qid=1656930919657&sr=1-1
9780141356099,100 Lifetime Adults,"5,041",4.6,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,7 April 2015,Paperback,293,Mixed,https://www.bookdepository.com/Simon-vs-Homo-Sapiens-Agenda-Becky-Albertalli/9780141356099?ref=grid-view&qid=1656929401647&sr=1-2
9780312674397,100 Lifetime Adults,"4,721",4.6,Speak,Laurie Halse Anderson,10 May 2011,Paperback,779,Ages: 12 years and up,https://www.bookdepository.com/Speak-Laurie-Halse-Anderson/9780312674397?ref=grid-view&qid=1656930399294&sr=1-1
9780241951446,100 Lifetime Adults,"4,701",4.5,"A Clockwork Orange (Penguin Essentials, 3)",Anthony Burgess,7 April 2011,Mass Market Paperback,216,Mixed,https://www.bookdepository.com/Clockwork-Orange-Anthony-Burgess/9780241951446
9780141335889,100 Lifetime Adults,"4,314",4.6,Between Shades of Gray,Ruta Sepetys,7 April 2011,Paperback,245,Ages: 12 years and up,https://www.bookdepository.com/Between-Shades-Gray-Ruta-Sepetys/9780141335889?ref=grid-view&qid=1656930188445&sr=1-1
9781509814138,100 Lifetime Adults,"4,251",4.6,Heartless,Marissa Meyer,21 December 2016,Paperback,336,Ages: 12 years and up,https://www.bookdepository.com/Heartless-Marissa-Meyer/9781509814138?ref=grid-view&qid=1656930662651&sr=1-1
9780141182674,100 Lifetime Adults,"4,193",4.3,On the Road: Penguin UK Edition (Penguin Modern Classics),Jack Kerouac,31 August 2011,Paperback,56,Mixed,https://www.bookdepository.com/On-Road-Jack-Kerouac/9780141182674?ref=grid-view&qid=1656929749028&sr=1-1
9780375822742,100 Lifetime Adults,"4,022",4.7,The City of Ember: 1,Jeanne DuPrau,25 May 2004,Paperback,469,Mixed,https://www.bookdepository.com/City-Ember-Jeanne-Duprau/9780375822742?ref=grid-view&qid=1656929450689&sr=1-1
9780141345833,100 Lifetime Adults,"4,006",4.5,The 5th Wave,Hardcover,7 May 2013,Paperback,260,Ages: 12 years and up,https://www.bookdepository.com/5th-Wave-Book-1-Rick-Yancey/9780141345833?ref=grid-view&qid=1656929953443&sr=1-1
9780375714832,100 Lifetime Adults,"3,568",4.7,The Complete Persepolis,Marjane Satrapi,9 May 2008,Library Binding,"5,549",Mixed,https://www.bookdepository.com/Complete-Persepolis-Marjane-Satrapi/9780375714832?ref=grid-view&qid=1656929303153&sr=1-1
9781406379167,100 Lifetime Adults,"3,205",4.4,The Knife of Never Letting Go (Chaos Walking),Patrick Ness,5 June 2014,Paperback,0,Mixed,https://www.bookdepository.com/Knife-Never-Letting-Go-Patrick-Ness/9781406379167?ref=grid-view&qid=1656930856859&sr=1-1
9781406326499,100 Lifetime Adults,"3,055",4.6,I'll Give You the Sun,Jandy Nelson,2 April 2015,Paperback,300,Mixed,https://www.bookdepository.com/Ill-Give-You-Sun-Jandy-Nelson/9781406326499?ref=grid-view&qid=1656929285029&sr=1-1
9780547258300,100 Lifetime Adults,"2,923",4.4,Graceling,Kristin Cashore,7 September 2009,Paperback,916,Mixed,https://www.bookdepository.com/Graceling-Kristin-Cashore/9780547258300?ref=grid-view&qid=1656930113667&sr=1-1
9781444754346,100 Lifetime Adults,"2,857",4.6,My Sister's Keeper,Jodi Picoult,22 January 2009,Kindle Edition,152,Mixed,https://www.bookdepository.com/My-Sisters-Keeper-Jodi-Picoult/9781444754346?ref=grid-view&qid=1656930322138&sr=1-1
9780099557494,100 Lifetime Adults,"2,729",4.6,Go Ask Alice,Mass Market Paperback,6 October 2011,Paperback,278,Mixed,https://www.bookdepository.com/Go-Ask-Alice-Anonymous/9780099557494?ref=grid-view&qid=1656930166952&sr=1-1
9780547550299,100 Lifetime Adults,"2,693",4.7,The Witch of Blackbird Pond,Elizabeth George Speare,1 December 1995,Hardcover,386,Ages: 9 - 12 years,https://www.bookdepository.com/Witch-Blackbird-Pond-Elizabeth-George-Speare/9780547550299?ref=grid-view&qid=1656930931046&sr=1-1
9780857079138,100 Lifetime Adults,"2,666",4.5,Uglies (Uglies Trilogy),Scott Westerfeld,29 March 2012,Paperback,Not known,Ages: 12 years and up,https://www.bookdepository.com/Uglies-Scott-Westerfeld/9780857079138?ref=grid-view&qid=1656930560523&sr=1-1
9780307931894,100 Lifetime Adults,"2,443",4.5,Every Day,David Levithan,10 September 2013,Paperback,323,Mixed,https://www.bookdepository.com/Every-Day-David-Levithan/9780307931894?ref=grid-view&qid=1656930764558&sr=1-1
9780007351046,100 Lifetime Adults,"2,247",4.5,"20,000 Leagues Under the Sea (Collins Classics)",Jules Verne,1 April 2010,Paperback,186,Mixed,https://www.bookdepository.com/20-000-Leagues-Under-Sea-Jules-Verne/9780007351046?ref=grid-view&qid=1656930776360&sr=1-1
9781473654785,100 Lifetime Adults,"2,127",4.5,Before I Fall Movie Tie-in Edition,Lauren Oliver,7 February 2017,Paperback,265,Ages: 12 years and up,https://www.bookdepository.com/Before-I-Fall-Lauren-Oliver/9781473654785?ref=grid-view&qid=1656930504892&sr=1-6
9781474602280,100 Lifetime Adults,"1,968",4.6,Sophie's World (20th Anniversary Edition),Jostein Gaarder,18 December 2015,Paperback,358,Mixed,https://www.bookdepository.com/Sophies-World-Jostein-Gaarder/9781474602280?ref=grid-view&qid=1656929139682&sr=1-1
9781423152880,100 Lifetime Adults,"1,855",4.4,Code Name Verity,Hardcover,7 May 2013,Paperback,379,Mixed,https://www.bookdepository.com/Code-Name-Verity-Elizabeth-Wein/9781423152880?ref=grid-view&qid=1656930645884&sr=1-1
9780099572886,100 Lifetime Adults,"1,754",4.4,I Capture the Castle,Dodie Smith,2 August 2012,Paperback,189,Mixed,https://www.bookdepository.com/I-Capture-Castle-Dodie-Smith/9780099572886?ref=grid-view&qid=1656930099221&sr=1-2
9780545654593,100 Lifetime Adults,"1,591",4.4,Shiver,Maggie Stiefvater,1 June 2010,Paperback,284,Ages: 9 - 12 years,https://www.bookdepository.com/Sinner-Shiver-Maggie-Stiefvater/9780545654593?ref=grid-view&qid=1656930538378&sr=1-5
9780765323118,100 Lifetime Adults,848,4.5,LITTLE BROTHER,Cory Doctorow,13 April 2010,Paperback,910,Mixed,https://www.bookdepository.com/Little-Brother-Cory-Doctorow/9780765323118?ref=grid-view&qid=1656930474257&sr=1-1
9781401284770,100 Lifetime Adults,828,4.7,The Sandman: Preludes & Nocturnes - Vol. 1 (New Edition),Neil Gaiman,19 October 2010,Paperback,Not known,Mixed,https://www.bookdepository.com/Sandman-1-30th-Anniversary-Edition-Neil-Gaiman/9781401284770?ref=grid-view&qid=1656930686768&sr=1-1
9781408870082,100 Lifetime Adults,776,4.5,When We Collided,Emery Lord,26 April 2016,Paperback,196,Mixed,https://www.bookdepository.com/When-We-Collided-Emery-Lord/9781408870082?ref=grid-view&qid=1656929969987&sr=1-1
9780141322919,100 Lifetime Adults,712,4.6,Just Listen,Sarah Dessen,5 July 2007,Paperback,278,Ages: 12 years and up,https://www.bookdepository.com/Just-Listen-Sarah-Dessen/9780141322919?ref=grid-view&qid=1656929604946&sr=1-1
9781786540003,100 Lifetime Adults,369,4.2,Passenger: Book 1: From the Number One bestselling author of LORE,Alexandra Bracken,7 June 2016,Paperback,300,Ages: 2 years and up,https://www.bookdepository.com/Passenger-Alexandra-Bracken/9781786540003?ref=grid-view&qid=1656930307129&sr=1-1
9780140100181,100 Lifetime Adults,358,4.6,The Basketball Diaries: The Classic About Growing Up Hip on New York's Mean Streets,Jim Carroll,7 July 1987,Paperback,794,Mixed,https://www.bookdepository.com/The-Basketball-Diaries-Jim-Carroll/9780140100181
9781509838790,100 Lifetime Adults,314,4.6,Hatchet,Gary Paulsen,15 March 2017,Paperback,235,Ages: 12 years and up,https://www.bookdepository.com/Hatchet-Gary-Paulsen/9781509838790?ref=grid-view&qid=1656929589999&sr=1-3
9781101932131,100 Lifetime Adults,157,4.3,The Maze Runner (Set of 4 Books),James Dashner,1 January 2015,Product Bundle,"1,350",Ages: 12 years and up,https://www.bookdepository.com/Maze-Runner-Series-Boxed-Set-4-Book-James-Dashner/9781101932131?ref=grid-view&qid=1656930435799&sr=1-4
9788186939178,100 Lifetime Adults,40,4.6,No Guns at My Son's Funeral,Paro Anand,5 March 2020,Paperback,210,Ages: 7 years and up,https://www.bookdepository.com/No-Guns-at-My-Sons-Funeral-Paro-Anand/9788186939178?ref=grid-view&qid=1656929882136&sr=1-1
9781844084616,100 Lifetime Adults,36,4.2,Faces in the Water,Not known,12 April 2010,Paperback,230,Mixed,https://www.bookdepository.com/Faces-Water-Janet-Frame/9781844084616?ref=grid-view&qid=1656930454149&sr=1-1
9789383331079,100 Lifetime Adults,25,4.5,Daddy Come Lately,Rupa Gulab,1 December 2013,Paperback,158,Mixed,https://www.bookdepository.com/Daddy-Come-Lately-Rupa-Gulab/9789383331079?ref=grid-view&qid=1656930674143&sr=1-2
9789383331192,100 Lifetime Adults,15,4.2,Talking of Muskaan,Himanjali Sankar,1 December 2014,Paperback,213,Mixed,https://www.bookdepository.com/Talking-of-Muskaan-Himanjali-Sankar/9789383331192
9789351369974,100 Lifetime Adults,11,4.7,How to Stop Your Grownup From Making Bad Decisions: 01 (Nina the Philosopher),Judy Balan,28 December 2014,Paperback,114,Mixed,https://www.bookdepository.com/How-Stop-Your-Grownup-From-Making-Bad-Decisions-Judy-Balan/9789351369974
9781481470575,100 Lifetime Adults,10,3.8,"Eat the Sky, Drink the Ocean",Not known,1 January 2014,Paperback,Not known,Mixed,https://www.bookdepository.com/Eat-Sky-Drink-Ocean-Kirsty-Murray/9781481470575?ref=grid-view&qid=1656930813944&sr=1-2
9781408845646,100 Lifetime Children,"46,747",4.7,Harry Potter and the Philosopher's Stone,J.K. Rowling,3 September 2014,Paperback,364,Mixed,https://www.bookdepository.com/Harry-Potter-Philosophers-Stone-J-K-Rowling/9781408855898?ref=grid-view&qid=1656929294118&sr=1-7
9780920668375,100 Lifetime Children,"46,092",4.9,Love You Forever,Robert Munsch,1 September 1995,Paperback,427,Ages: 1 - 6 years,https://www.bookdepository.com/Love-You-Forever-Robert-Munsch/9780920668375?ref=grid-view&qid=1656930961205&sr=1-1
9780694003617,100 Lifetime Children,"34,885",4.4,Goodnight Moon,Margaret Wise Brown,8 September 2016,Paperback,245,Ages: 2 - 5 years,https://www.bookdepository.com/Goodnight-Moon-Margaret-Wise-Brown/9780694003617?ref=grid-view&qid=1656930043173&sr=1-1
9780375869020,100 Lifetime Children,"30,862",4.6,Wonder,R. J. Palacio,3 January 2013,Paperback,285,Mixed,https://www.bookdepository.com/Wonder-R-J-Palacio/9780552565974?ref=grid-view&qid=1656929696152&sr=1-1
9781442450707,100 Lifetime Children,"29,600",4.8,"Chicka Chicka Boom Boom (Chicka Chicka Book, A)",John Archambault,28 August 2012,Board book,245,Ages: 1 - 4 years,https://www.bookdepository.com/Chicka-Chicka-Boom-Boom-Jr-Bill-Martin/9781442450707?ref=grid-view&qid=1656930562311&sr=1-2
9780241003008,100 Lifetime Children,"24,128",4.7,The Very Hungry Caterpillar,Eric Carle,25 March 2003,Paperback,255,Ages: 0 - 5 years,https://www.bookdepository.com/Very-Hungry-Caterpillar-Eric-Carle/9780241003008?ref=grid-view&qid=1656930000596&sr=1-1
9789056375690,100 Lifetime Children,"24,029",4.7,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,21 April 2016,Paperback,291,Ages: 3 - 6 years,https://www.bookdepository.com/Het-Gruffalo-puzzelboek-druk-1-Julia-Donaldson/9789056375690?ref=grid-view&qid=1656929767164&sr=1-6
9780060256654,100 Lifetime Children,"22,656",4.7,The Giving Tree,Shel Silverstein,2 December 2010,Hardcover,214,Mixed,https://www.bookdepository.com/Giving-Tree-Shel-Silverstein/9780060256654?ref=grid-view&qid=1656931056935&sr=1-1
9780786838653,100 Lifetime Children,"22,101",4.6,Percy Jackson and the Lightning Thief (Percy Jackson and the Olympians),Rick Riordan,21 January 2010,Paperback,350,Ages: 9 - 12 years,https://www.bookdepository.com/Percy-Jackson-Olympians-Book-One-Lightning-Thief-Percy-Jackson-Olympians-Book-One-Rick-Riordan/9780786838653?ref=grid-view&qid=1656930321912&sr=1-1
9780007263516,100 Lifetime Children,"20,744",4.6,The Giver: Essential Modern Classics,Lois Lowry,9 May 2011,Paperback,268,Ages: 0 - 9 years,https://www.bookdepository.com/Giver-Lois-Lowry/9780007263516?ref=grid-view&qid=1656929980721&sr=1-1
9780141354828,100 Lifetime Children,"19,193",4.7,Charlotte's Web (A Puffin Book): 70th Anniversary Edition,E. B. White,3 July 2014,Paperback,239,Mixed,https://www.bookdepository.com/Charlottes-Web-E-B-White/9780141354828?ref=grid-view&qid=1656929724093&sr=1-1
9780007513765,100 Lifetime Children,"17,726",4.7,The Day the Crayons Quit,Drew Daywalt,25 November 2015,Paperback,316,Mixed,https://www.bookdepository.com/Day-Crayons-Quit-Drew-Daywalt/9780007513765?ref=grid-view&qid=1656929796149&sr=1-1
9798460965823,100 Lifetime Children,"17,387",4.9,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Tom Lichtenheld,4 May 2011,Hardcover,"1,200",Ages: 1 - 6 years,https://www.bookdepository.com/I-Spy-Book-For-Kids-Ages-2-5-Childhood-Press/9798460965823
9780394800011,100 Lifetime Children,"17,183",4.6,The Cat in the Hat,Dr. Seuss,5 August 2010,Paperback,184,Ages: 6 - 7 years,https://www.bookdepository.com/Cat-Hat-Dr-Seuss/9780394800011?ref=grid-view&qid=1656930663264&sr=1-1
9780099572862,100 Lifetime Children,"16,326",4.6,The Boy in the Striped Pyjamas: Read John Boyne’s powerful classic ahead of the sequel ALL THE BROKEN PLACES,John Boyne,2 August 2012,Paperback,249,Mixed,https://www.bookdepository.com/The-Boy-in-the-Striped-Pyjamas-John-Boyne/9780099572862
9780440414803,100 Lifetime Children,"15,601",4.7,Holes,Louis Sachar,3 June 2015,Paperback,279,Ages: 12 years and up,https://www.bookdepository.com/Holes-Louis-Sachar/9780440414803?ref=grid-view&qid=1656931503234&sr=1-1
9780394800189,100 Lifetime Children,"15,414",4.9,Are You My Mother? (Beginner Books(R)),P.D. Eastman,12 June 1960,Hardcover,0,Ages: 3 - 7 years,https://www.bookdepository.com/Are-You-My-Mother-P-D-Eastman/9780394800189?ref=grid-view&qid=1656932339473&sr=1-1
9780143333623,100 Lifetime Children,"14,709",4.6,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Not known,1 January 2015,Paperback,184,Ages: 12 years and up,https://www.bookdepository.com/Grandmas-Bag-Of-Stories-Sudha-Murty/9780143333623
9780141324906,100 Lifetime Children,"13,915",4.6,Diary Of A Wimpy Kid (Book 1),Jeff Kinney,21 August 2008,Paperback,315,Mixed,https://www.bookdepository.com/Diary-Wimpy-Kid-Book-1-Jeff-Kinney/9780141324906?ref=grid-view&qid=1656929358781&sr=1-1
9780451470799,100 Lifetime Children,"13,886",4.9,Corduroy,Don Freeman,30 September 1976,Paperback,448,Mixed,https://www.bookdepository.com/Corduroy-Don-Freeman/9780451470799?ref=grid-view&qid=1656931919696&sr=1-2
9781408841754,100 Lifetime Children,"12,815",4.5,Coraline,Neil Gaiman,30 August 2016,Paperback,281,Mixed,https://www.bookdepository.com/Coraline-Neil-Gaiman/9781408841754?ref=grid-view&qid=1656929903327&sr=1-1
9780141321073,100 Lifetime Children,"12,564",4.3,Alice's Adventures in Wonderland (Puffin Classics),Lewis Carroll,14 May 2008,Paperback,15,Mixed,https://www.bookdepository.com/Alices-Adventures-Wonderland-Lewis-Carroll/9780141321073?ref=grid-view&qid=1656932215869&sr=1-1
9798460965823,100 Lifetime Children,"12,335",4.7,"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)",Herve Tullet,30 March 2011,Hardcover,"1,295",Ages: 2 years and up,https://www.bookdepository.com/I-Spy-Book-For-Kids-Ages-2-5-Childhood-Press/9798460965823?ref=grid-view&qid=1656932142521&sr=1-1
9780007215997,100 Lifetime Children,"12,133",4.6,"The Tiger Who Came to Tea: The bestselling classic children’s book, from the beloved Judith Kerr: The bestselling children’s classic – now an award-winning animation",Judith Kerr,23 February 2018,Paperback,263,Mixed,https://www.bookdepository.com/Tiger-Who-Came-Tea-Judith-Kerr/9780007215997?ref=grid-view&qid=1656931620067&sr=1-1
