isbn,Series,Descrption
9781444959857,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!The Land of Magic Medicines has come to the top of the Faraway Tree, and it's full of curious bottles and sparkling potions. It's the perfect place to find something to make Mother feel better...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959864,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!At the top of the Faraway Tree a new adventure awaits the children. What could be nicer than a visit to the Land of Do-As-You-Please? Frannie has always longed to ride an elephant and Joe wants to be a train-driver. Everyone's wishes can come true! The perfect format for new readers to enjoy the adventures of Moonface, Silky, Saucepan Man and friends.Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959871,A Faraway Tree Adventure,"A full-colour short story from the enchanted world of the Faraway Tree in a perfect format for new readers. Discover the magic!The Land of Silly School is where Dame Snap teaches naughty elves, pixies and fairies. But Joe, Beth, Frannie, Connie soon discover that the lessons are very silly indeed! How will they escape strict Dame Snap?Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959901,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!Joe, Beth, Frannie and cousin Rick go up the Faraway Tree for another fantastical adventure! This time, they reach the Land of Toys, where teddy bears, dolls and clockwork toys run around all day long. Poor Saucepan-Man gets thrown in prison by some toy soldiers and the children must rescue him before it's too late...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959918,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!Beth, Joe, Frannie and Rick thought they had had quite enough of adventures, but soon go up the Faraway Tree again and find themselves in the Land of Dreams. The dastardly Sandman makes them fall asleep and Silky has to find a way to get them home in one piece! Along the way, they encounter muffins that turn into kittens, a bus that turns into a plane and a boat, and lots more...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959925,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!In the Land of Enchantments, everything shines and shimmers and moves. But it's full of witches, enchanters and goblins, and some not very nice spells!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781419739644,A Hello!Lucky Book,"From the superstar creators of My Mom Is Magical! and My Dad Is Amazing! comes this perfect celebration for every milestone Celebrate everything that makes you a rising star! From kindness and curiosity to playfulness and positivity, this book is a paw-some salute to anyone reaching a life milestone. The Hello!Lucky team brings their signature humor and colorful style to this inspirational book celebrating accomplishments big and small. It's a purr-fect reminder that fierce and bold, young or old, you're one cool cat!"
9781419743344,A Hello!Lucky Book,"Show your gratitude with this pun-derful picture book from the bestselling creators of Hello!Lucky! Here's a hug. A trophy. The kitchen sink! This book will give you TONS of ideas for how to say THANKS when words just aren't enough. With their bold style and sidesplitting humor, the Hello!Lucky team offers this book of gratitude as one big thank-you to the people in our lives."
9781419751103,A Hello!Lucky Book,"In the latest picture book from Hello!Lucky, a cheerful narrator guides a class of nervous critters through their very first day of schoolWhat you learn in school will last all year! So how about a hooray-for-school cheer? In this exuberant picture book from the bestselling Hello!Lucky team, a friendly narrator prepares young readers for their first day of school with humor and encouragement. A fifth color throughout makes School Is Cool! the perfect back-to-school gift for those gearing up for their big day, whether they are worried about not knowing the rules, how to make friends, or how to fit in."
9781419755569,A Hello!Lucky Book,"Spread hope and encouragement with this pun-derful picture book from the bestselling Hello!Lucky teamHold on, friend! Do not despair.When times are tough, just hang in there! The bestselling Hello!Lucky team brings their signature bold style and sidesplitting humor to this uplifting picture book. One thing after another goes wrong on Cat's cat-astrophic day--but with reassuring support from her friends and a paws-itive outlook, she just may be able to keep things in purr-spective."
B078WNSB8V,A Hello!Lucky Book,A joyful tribute to fathers from the bestselling creators of Hello!Lucky! and authors of My Mom is Magical and You Are Fantastic!. Is your dad cooler than a million popsicles?Tougher than a rhino wrestler?Cuddlier than a ton of bunnies? Celebrate all the things that make Dad amazing with this joyful book!
B078WR254G,A Hello!Lucky Book,"The creators behind the greeting card and design studio Hello!Press share a joyful tribute to moms in this delightfully illustrated children's book.Is your mom more amazing than a billion butterflies? More sparkly than a universe of stars? Sweeter than a cloud of cotton candy? Then this book is definitely for you!From Eunice and Sabrina Moyle, the creative team behind Hello!Press, this children's book celebrates all the things that make Mom magical. Each page reveals whimsical artwork and a delightful, imaginative message that children--and their Moms--will love."
B07BFX264F,A Hello!Lucky Book,"These two energetic heroes guide young readers through the warning signs of impending number 1 and number 2. --BooklistA super-duper primer for that critical toddler milestone, potty training. --Kirkus ReviewsHilarious. . . . A must-have. --School Library Journal Doody calls! A mom-tested and doctor-approved potty-training book from the bestselling duo Hello!Lucky! From that first rumble in the bumble to that moment of triumph when the potty is full of number one or number two, Super Pooper and Whizz Kid: Potty Power! touches on those essential potty-training moments, ending with the all-important big-kid underpants dance! Let the delightfully funny duo Super Pooper and Whizz Kid (a cute-as-can-be superhero cat and dog) introduce your little one to toilet etiquette 101. With playful potty and superhero puns that will bring laughter and smiles to kids and grown-ups alike, and filled with bright, adorable illustrations in Hello!Lucky's inimitable style, this is a fun-filled board book about all things #1 and #2. Complete with reminders on wiping and scrubbing hands with soap, this is a hilarious take on an important toddler milestone! Books from Hello!Lucky include:Bananas for You! * Christmas Is Awesome!Go Get 'Em Tiger! * Hang in There! * Kindness Rules!My Grandma Is Great! * My Grandpa Is Grand!My Dad Is Amazing! * My Mom Is Magic!Super Pooper and Whizz Kid: Potty Power! * School Is Cool!Sloth & Smell the Roses * Thanks a Ton! * You Are Fantastic!"
B07H2GH5JR,A Hello!Lucky Book,"A brightly illustrated, tons-of-fun book about the magic of manners from the award-winning bestselling duo Hello!Lucky! Manners don't come naturally to everyone! But luckily Magic the elephant is here to teach young readers how easy--and fun--manners can be! This hilarious guide to good manners offers great teaching moments for kids and guardians alike. Kindness Rules! covers all the basics for the preschool set, from saying please and thank you to sharing and being kind to others. Any time of day, at home or at school, Magic remembers the GOLDEN RULE: Treat others the way you want them to treat you!When a friend has chosen to speak up, Magic doesn't interrupt.When something he's done has hurt a friend, Magic always makes amends. With easy to remember rhymes, Magic the elephant's timeless advice about being kind to others is a fun and necessary message for boys and girls. Filled with bright, adorable illustrations in Hello!Lucky's inimitable style, young children will love learning about manners with this delightful, sturdy board book. Books from Hello!Lucky include:Bananas for You! * Christmas Is Awesome!Go Get 'Em Tiger! * Hang in There! * Kindness Rules!My Grandma Is Great! * My Grandpa Is Grand!My Dad Is Amazing! * My Mom Is Magic!Super Pooper and Whizz Kid: Potty Power! * School Is Cool!Sloth & Smell the Roses * Thanks a Ton! * You Are Fantastic!"
B07P124SH8,A Hello!Lucky Book,"A festive tribute to all the things that make Christmas awesome from the bestselling creators of Hello!Lucky! In this whimsical holiday romp, everyone's getting in on the festive fun, including a grumpy but adorable lump of coal. Celebrate all of the things that make Christmas special as the trees are trimmed, the stockings are hung, and the ugly sweater contest gives out the grand prize. Hello!Lucky lends their winning illustrations and pun-derful voice to this charming holiday read."
B08526LVC8,A Hello!Lucky Book,"A playful board book about the pillars of mindfulness from the bestselling creators of Hello!Lucky! This pun-derful guide to mindfulness offers many fun teaching moments for kids and their caregivers, covering topics from taking deep breaths to acknowledging strong feelings and working to let them go. Filled with bright, adorable illustrations in Hello!Lucky's inimitable style, this playful, sturdy board book is sure to give the preschool set much to ponder. As a bonus seek-and-find element, readers will find at least one rose on every spread--an additional reminder to stop and smell the roses!"
B08K42V6DS,A Hello!Lucky Book,"From Hello!Lucky, the creators of My Mom Is Magical! and My Dad Is Amazing!, comes a joyful tribute to all the things that make YOU one of a kind!You are more lovable than a ton of puppies! Cooler than a pile of penguins!More stupendous than a squad of narwhals! Celebrate all the things that make YOU special in this vibrant board book companion to the bestselling My Mom Is Magical! and My Dad Is Amazing! from Hello!Lucky. Full of fun animal characters and a fifth color of ink throughout, this book is perfect for birthdays and any other time that calls for a little extra celebrating."
B08WJVC4X1,A Hello!Lucky Book,"From the superstar creators of My Mom Is Magical! and My Dad Is Amazing! comes this vibrant, humor-filled board book--the perfect way to tell your loved ones you're bananas for them Do you love someone more than chickens love to dance? More than poodles love to prance? Perfect for Valentine's Day or any time that calls for a little extra celebrating, this book from bestselling creators Hello!Lucky is full of eye-catching illustrations, pun-derful humor, and an extra dose of silliness sure to make little ones giggle with every page."
B09C1891ZD,A Hello!Lucky Book,"From Hello!Lucky, the creators of My Mom Is Magical! and My Dad Is Amazing!, comes this joyful tribute to everything that makes grandfathers grand!Is your grandpa more fun than a ton of treehouses? More adventurous than a sea of sailors? Smarter than a school of fish? Celebrate all the things that make Grandpa grand with this bright, humor-filled board book!"
B09C18MNRL,A Hello!Lucky Book,"From the superstar creators of My Mom Is Magical! and My Dad Is Amazing! comes this spooktacular, humor-filled board book--perfect for Halloween celebrationsThis not-so-spooky story celebrates all things Halloween, with plenty of tricks and treats! Hello!Lucky lends their vibrant illustrations and pun-derful voice to this charming board book that is sure to tickle your funny bone."
B09C18QGSS,A Hello!Lucky Book,"From Hello!Lucky, the creators of My Mom Is Magical! and My Dad Is Amazing!, comes this joyful tribute to everything that makes grandmothers great!Is your grandma more fabulous than a flock of flamingos? More magical than a million mermaids? More adventurous than a pack of pirates? Celebrate all the things that make Grandma great with this bright, humor-filled board book!"
9780374301941,A Pout-Pout Fish Adventure,"An exciting new adventure starring the New York Times-Bestselling Pout-Pout Fish! Mr. Fish has prepped and packed,And he's made big plans to roam.He's ready for adventureOn his trip away from home!But sometimes trips have detoursAnd not everything goes right.Without his favorite toy,Can he fall asleep at night?Swim along with Mr. Fish as he explores new places and meets new friends in THE POUT-POUT FISH, FAR, FAR FROM HOME. He might just learn that a few bumps along the way are all part of the journey. Deborah Diesen and Dan Hanna are back with everyone's favorite grumpy fish, to show that love doesn't have to be packed, it travels with you always."
9780374304027,A Pout-Pout Fish Adventure,"Mr. Fish and all his friendsLove to play down at the park.But that ends when they're bulliedBy a misbehaving shark!Mr. Fish wants to help.He knows bullying is wrong!But he's just one fish--Is he really that strong?In The Pout-Pout Fish and the Bully-Bully Shark, the New York Times-bestselling Pout-Pout Fish teaches a bully shark about kindness and being a friend in this original picture book. Swim along as he discovers the strength of his community, and the power of his own voice."
9780374304034,A Pout-Pout Fish Adventure,"Mr. Fish can't fall asleep in this new jacketed hardcover addition to Deborah Diesen and Dan Hanna's New York Times-bestselling Pout-Pout Fish series.One night in the ocean, the Pout-Pout Fish can't get to sleep! He's all ready for bed, but he just can't catch a snooze. When he asks his friends for advice, they're all sure they know what he should do--count sheep, use a pillow made of rocks, swim in circles--but nothing works. What to do when good advice isn't good for everyone? Little guppies will love The Pout-Pout Fish and the Can't-Sleep Blues, a bedtime story about learning from experience and doing what's best for you!"
9780374307981,A Pout-Pout Fish Adventure,"2010 FSG hardcover, 2nd printing. Deborah Diesen (The Pout-Pout Fish). Mr. Fish wants to help his friend Ms. Clam when she loses her pearl, but though he's fast as a sailfish, as smart as dolphin, and as strong as a shark, Mr. Fish has a secret: he's scared of the dark! Very young children will swim along with Mr. Fish as he journeys deep into the ocean to new and mysterious places. They will discover, as Mr. Fish does, the power of friendship to light the way through the big-big dark. - Amazon"
9780374309343,A Pout-Pout Fish Adventure,"This jacketed hardcover in the New York Times-bestselling Pout-Pout Fish series from Deborah Diesen and illustrator Dan Hanna, The Pout-Pout Fish Cleans Up the Ocean, will teach little guppies how to take responsibility for their actions and for the environment. Mr. Fish and his friends have noticed something strange in their ocean--a big, big MESS! How did it get there? What can they do about it? The closer they look, the more they see where the mess came from . . . and they'll have to work together to get rid of it."
