ISBN13,Header,Content
9781447240204,About Julia Donaldson,"Julia Donaldson is the outrageously talented, prize-winning author of the world's best-loved picture books, and was the 2011-2013 UK Children's Laureate. Her books include Sharing a Shell, the bestselling smash-hit What the Ladybird Heard and the modern classic The Gruffalo, which has sold over 13.5 million copies worldwide and has been translated into over sixty languages. Julia also writes fiction as well as poems, plays and songs and her brilliant live children's shows are always in demand. Julia and her husband Malcolm divide their time between Sussex and Edinburgh. Lydia Monks is one of the most original picture book artists working today. Her distinctive use of colour and collage has won her critical acclaim and several awards, including the Smarties Prize. Her collaborations with Julia Donaldson include The Singing Mermaid, the Princess Mirror-belle books, Sugarlump and the Unicorn, and the phenomenally successful What the Ladybird Heard. Lydia lives in Sheffield. show more"
9781447210856,Review quote,"""[A] tip-top adventurous ballad which will hold its readers captive."" - Guardian ""[...] a delightful rhyming adventure."" - Daily Mail [A] tip-top adventurous ballad which will hold its readers captive. * Guardian * [...] a delightful rhyming adventure. * Daily Mail * A delightful tale . . . each glittery, tactile page is beautifully illustrated and gently teaches youngsters the value of friendship, courage and trust. * ASDA Magazine * show more"
9781447210856,About Julia Donaldson,"Julia Donaldson is the outrageously talented, prize-winning author of the world's best-loved picture books, and was the 2011-2013 UK Children's Laureate. Her books include Sharing a Shell, the bestselling smash-hit What the Ladybird Heard and the modern classic The Gruffalo, which has sold over 13.5 million copies worldwide and has been translated into over sixty languages. Julia also writes fiction as well as poems, plays and songs and her brilliant live children's shows are always in demand. Julia and her husband Malcolm divide their time between Sussex and Edinburgh. Lydia Monks is one of the most original picture book artists working today. Her distinctive use of colour and collage has won her critical acclaim and several awards, including the Smarties Prize. Her collaborations with Julia Donaldson include The Rhyming Rabbit, the Princess Mirror-belle books, Sugarlump and the Unicorn, and the phenomenally successful What the Ladybird Heard. Lydia lives in Sheffield. show more"
9780340997130,Review quote,"Felicity is the friendliest, most glittery fairy. * The Children's Bookseller * It's pink, it's frothy, it's unashamedly girlie... most little girls will adore it! * Junior Magazine * ...a great delicacy in the artwork and some adult appeal... * The Children's Bookseller * show more"
9780340997130,About Emma Thomson,Emma Thomson is a fine artist with over twelve years' experience of illustrating products for all of the major high street chains and has close links with M&S for whom she has launched two extremely successful merchandise properties in the 1990s! Emma is now co-founder of White Lion Publishing which publishes her cards - in particular the Felicity Wishes range... show more
9781848798823,Review quote,No Review Data Available show more
9781848798823,About Tim Bugbird,Camilla the Cupcake Fairy show more
9781780653297,Review quote,No Review Data Available show more
9781780653297,About T Bugbird,Daisy the Doughnut Fairy show more
9781780656199,Review quote,No Review Data Available show more
9781780656199,About Tim Bugbird,Lola the Lollipop Fairy show more
9781846162992,Review Text,A delightful ballet story with a difference show more
9781846162992,Review quote,"Enchanting retelling of the Sleeping Beauty legend ... beautiful * School Librarian * A delightful ballet story with a difference * Carousel * A very attractive picture book with a classic feel * The Bookseller * The text reads aloud beautifully and there's a lot to talk about on every page * The Bookbag * Exciting stuff for budding ballerinas - this is a very attractive picture book, with a classic feel. * The Bookseller * This is a delightful ballet story with a difference * Carousel * Highly recommended. * School Librarian * ""Beautifully illustrated and written... an enchanting re-telling of a popular fairy tale... highly recommended."" * School librarian * show more"
9781846162992,About James Mayhew,"James Mayhew studied at Maidstone College of Art and his first children's book, Katie's Picture Show was published in 1989. It's been firmly in print ever since, recognised universally as the original and best introduction to art for children. Many more titles have followed, and the series sells in museums and galleries all over the world, from the Met in New York, to the Uffizi in Florence, the Louvre in Paris and beyond. He is also the creator of the much-loved Ella Bella Ballerina series, and many other titles. Alongside his work in publishing, James has devised and performed in a hugely successful series of concerts for children, combining live classical music, storytelling and live art. From Peter and the Wolf, to Scheherazade, James has worked internationally with many different orchestras and musicians, creating illustrations in time to music. James grew up in Suffolk but now lives in Hertfordshire with his wife and small son. http://james-mayhew-author-illustrator.blogspot.co.uk/ show more"
9781481435857,About Charles M Schulz,"Charles M. Schulz is a legend. He was the hand and heart behind fifty years of Peanuts, which featured one of the world's most beloved and recognizable casts of cartoon characters, until his death in 2000. Kara McMahon is the author of dozens of books for children. She lives in New York City with her husband, Bryan, and their cats, Friday and Cindy Lou Who, both of which were adopted from shelters. Supporting animal shelters is a cause she holds close to her heart, and she hopes that after reading about Friday, more people will make shelters their first stop when looking for a pet. show more"
9781405217880,Review quote,"""A modern classic . . ."" ""Observer"" on ""The Gruffalo"""" show more"
9781405217880,About Julia Donaldson,"Julia Donaldson is the best-selling author of The Gruffalo, The Giants and the Joneses, The Wrong Kind of Bark, Spinderella and Night Monkey, Day Monkey. She lives in Glasgow with her husband and spends a lot of time touring the country doing readings - and singing! Pam Smy's work has appeared in the anthology Magical Tales Of Ireland as well as numerous other compendiums and educational texts. Her best known work is The Hound of the Baskervilles. show more"
9781405288828,About Adam Hargreaves,"It all started with a tickle. Roger Hargreaves' son Adam asked him what a tickle looked like. In response, Roger drew a small orange man with extraordinarily long arms that could reach anywhere and tickle anyone. The idea that a tickle could be a character in its own right sparked an idea in Roger's mind. Roger was a successful copywriter but he wanted to do something that would enable him to work from home and spend more time with his four children. He wondered if he could make a living writing and illustrating children's books so he wrote the first Mr Men titles: Mr Tickle, Mr Greedy, Mr Happy, Mr Nosey, Mr Sneeze and Mr Bump. The books were an instant hit and Roger went on to create many more Mr Men and Little Miss characters. What Roger really wanted was to make children laugh. Mr Silly was his favourite Mr Men story and, according to his family, encapsulates his humour most closely. Sadly Roger passed away in 1988, but his son Adam took over the series, introducing new characters and exciting new adventures. Roger once said, 'I feel very happy to think that when the Mr Men and Little Misses are 100 years old, their readers will always be five.' show more"
9780141382418,About Lauren Child,"Lauren Child is the multi-talented prize-winning creator of the characters Charlie and Lola and Clarice Bean. She has won the Smarties Gold Award, Smarties Bronze Award, Kate Greenaway Medal and been shortlisted for the Children's Book of the Year at the British Book Awards. Lauren lives in London. show more"
9780747541936,About Faustin Charles,"Michael Terry's picture books for Bloomsbury include The Selfish Crocodile, Little Hotchpotch and Rhino's Horns. Michael is well-known for his characterful animal illustrations, in particular for the novels of Dick King-Smith where, amongst others, he created the cover for The Hodgeheg. Michael lives in Hythe, Kent. show more"
9781407115597,About Julia Donaldson,"Julia Donaldson, geb. 1948 in London, arbeitete als Lektorin, Journalistin und Lehrerin. Heute lebt sie als freie Schriftstellerin mit ihrer Familie in Glasgow. 2011 wurde Julia Donaldson mit dem 'Children's Laureate 2011 - 2013' ausgezeichnet. Axel Scheffler, geboren 1957 in Hamburg, Grafikstudium an der Bath Acadamy of Art in England, lebt als Illustrator mit seiner Familie in London. Er veroffentlichte zahlreiche Buchillustrationen, hauptsachlich fur Kinder, zeichnet aber auch fur Zeitungen und Zeitschriften und gehort heute zu den national und international bedeutendstem Kinderbuchillustratoren. show more"
9780744598612,Review quote,"""It's Quacking Time! is a familiar story made gloriously exuberant in both words and pictures."" The Guardian"" show more"
9780744598612,About Martin Waddell,"Martin Waddell is widely acknowledged as one of the greatest living writers of books for children. He is well known for his bestselling Big and Little Bear series and won the prestigious Hans Christian Andersen Award in 2004. He lives in Northern Ireland. Jill Barton studied illustration at Manchester Polytechnic and has illustrated many children's books including The Pig in the Pond (Highly Commended for the Kate Greenaway Medal), Rattletrap Car and Lady Lollipop. She lives in Devon. show more"
9781407115566,About Julia Donaldson,"Axel Scheffler, geboren 1957 in Hamburg, Grafikstudium an der Bath Acadamy of Art in England, lebt als Illustrator mit seiner Familie in London. Er veroffentlichte zahlreiche Buchillustrationen, hauptsachlich fur Kinder, zeichnet aber auch fur Zeitungen und Zeitschriften und gehort heute zu den national und international bedeutendstem Kinderbuchillustratoren. Julia Donaldson, geb. 1948 in London, arbeitete als Lektorin, Journalistin und Lehrerin. Heute lebt sie als freie Schriftstellerin mit ihrer Familie in Glasgow. 2011 wurde Julia Donaldson mit dem 'Children's Laureate 2011 - 2013' ausgezeichnet. show more"
9780745945040,About Christina Goodings,CHRISTINA GOODINGS has written a range of activity books for children. show more
9780241255162,Review Text,"Tired parents of planet earth - this is what you've been waiting for... If you don't already have a copy, you need to order one quick sharp. Metro 20150815 show more"
9780241255162,Review quote,"Tired parents of planet earth - this is what you've been waiting for... If you don't already have a copy, you need to order one quick sharp. * Metro * The most peaceful bedtime we have had in months. * Daily Mail * show more"
9780241255162,About Carl-Johan Forssén Ehrlin,Carl-Johan Forssen Ehrlin is a behavioural scientist with a bachelor's degree in psychology and teaches communications at a Swedish university. He is also a life coach and leadership trainer. Carl-Johan has combined all these skills and experiences in developing the techniques in this book. Read more about the author at carl-johan.com or on his Facebook pages Carl-Johan Forssen Ehrlin and The Rabbit Who Wants to Fall Asleep. show more
9780007119714,Review quote,"One Snowy Night A lovely book to share at bedtime 'Children's Book News' A heartwarming tale 'Susan Hill, The Independent' After the Storm ...look no further for the best present for any child from two to six 'Susan Hill, The Sunday Times' The Rescue Party It's good for reading aloud to under-fives, and later the six-pluses will still want to read it themselves 'The Independent on Sunday' show more"
9780007119714,About Nick Butterworth,"Nick Butterworth was born in Kingsbury, North London. He has worked as a graphic designer for major London design consultancies. Nick then moved into freelance graphics and illustrations, working in partnership with three others, including Mick Inkpen. In 1981 his first children's book was published, B. B. Blacksheep and Company. Nick has also worked as a television presenter on the children's programme Rub-a-Dub-Tub. show more"
9780007236336,Review Text,"From his early days in Darkest Peru to his first adventures in england, Paddington Bear's memories... show more"
9780007236336,Review quote,'Things are always happening to me. I'm that sort of bear' Paddington Praise for the Paddington series: 'I've always had great respect for Paddington...He is a British institution.' Stephen Fry 'Paddington has joined Pooh as one of the great bears of English children's literature.' The Teacher 'Michael Bond's accident-prone bear...has become one of the most enduring of children's characters.' The Bookseller show more
9780007236336,About Michael Bond,"Michael Bond was born in Newbury, Berkshire on 13 January 1926 and educated at Presentation College, Reading. He served in the Royal Air Force and the British Army before working as a cameraman for BBC TV for 19 years. In 2015, Michael was awarded a CBE for his services to children's literature, to add to the OBE he received in 1997. Michael died in 2017, leaving behind one of the great literary legacies of our time. show more"
9780141501765,About Roald Dahl,"Roald Dahl was a spy, ace fighter pilot, chocolate historian and medical inventor. He was also the author of Charlie and the Chocolate Factory, Matilda, The BFG and many more brilliant stories. He remains THE WORLD'S NUMBER ONE STORYTELLER. Quentin Blake has illustrated more than three hundred books and was Roald Dahl's favourite illustrator. In 1980 he won the prestigious Kate Greenaway Medal. In 1999 he became the first ever Children's Laureate and in 2013 he was knighted for services to illustration. show more"
9781407109275,About Julia Donaldson,"Julia Donaldson, geb. 1948 in London, arbeitete als Lektorin, Journalistin und Lehrerin. Heute lebt sie als freie Schriftstellerin mit ihrer Familie in Glasgow. 2011 wurde Julia Donaldson mit dem 'Children's Laureate 2011 - 2013' ausgezeichnet. Axel Scheffler, geboren 1957 in Hamburg, Grafikstudium an der Bath Acadamy of Art in England, lebt als Illustrator mit seiner Familie in London. Er veroffentlichte zahlreiche Buchillustrationen, hauptsachlich fur Kinder, zeichnet aber auch fur Zeitungen und Zeitschriften und gehort heute zu den national und international bedeutendstem Kinderbuchillustratoren. show more"
9780333710937,Review Text,When mouse goes for a walk in the dangerous forest he scares off his enemies by telling them tales of a fantastic creature called a Gruffalo. But then he meets a real Gruffalo! Readership level: 3+. Full colour. show more
9780333710937,About Julia Donaldson,"Julia Donaldson (Children's Laureate 2011-2013) is a household name. Her wonderful stories are part of every contemporary family's life, through her bestselling books and brilliant live shows. She writes award-winning fiction, poetry, plays and songs as well as the picture books for which she is best known, including ROOM ON THE BROOM, WHAT THE LADYBIRD HEARD, THE PAPER DOLLS - and THE GRUFFALO. Julia and her husband Malcolm divide their time between Edinburgh and West Sussex. Axel Scheffler is a star illustrator in the children's book world, and has created many wonderful books for Macmillan. He has enjoyed particular acclaim for his work with Julia Donaldson, but is also the creator of fantastic novelty books such as THE TICKLE BOOK (978-1-4050-5363-1), as well as MOTHER GOOSE'S NURSERY RHYMES (978-0-333-96136-0), a treasury of nursery rhymes and original stories. show more"
9780007347056,Review quote,"Praise for Mog: 'Since her debut in 1970, Mog has become... a national hero.' Junior Magazine 'A firm favourite on children's bookshelves' The Telegraph 'Mog is a star, she really is. I can't recommend her highly enough. Someone should give that cat a medal, or an egg for breakfast.' The Bookbag 'Delightful stories about the family cat with attitude.' The Guardian Praise for Judith Kerr: 'One of the best authors a child of 3+ could encounter.' The Times ""It's no surprise Judith's work is still popular. It owes nothing to the vagaries of style or fashion. Her warmth and humanity are timeless."" Michael Foreman show more"
9780007347056,About Judith Kerr,"Judith Kerr OBE was born in Berlin. Her family left Germany in 1933 to escape the rising Nazi party, and came to England. She studied at the Central School of Art and later worked as a scriptwriter for the BBC. Judith married the celebrated screenwriter Nigel Kneale in 1954. She left the BBC to look after their two children, who inspired her first picture book, The Tiger Who Came to Tea. Published in 1968 and never out of print in the fifty years since, it has become a much-loved classic and perennial bestseller. Her second book was Mog the Forgetful Cat, which was published in 1970 and has also gone on to become a beloved classic, with Mog appearing in a further 17 adventures in the years since. Judith was awarded the Booktrust Lifetime Achievement Award in 2016, and in 2019 was named Illustrator of the Year at the British Book Awards. Judith died in May 2019 at the age of 95, and her stories continue to entertain and delight generations of children. show more"
9780007171286,Review quote,"Praise for Mog: 'Since her debut in 1970, Mog has become... a national hero.' Junior Magazine 'A firm favourite on children's bookshelves' The Telegraph 'Mog is a star, she really is. I can't recommend her highly enough. Someone should give that cat a medal, or an egg for breakfast.' The Bookbag 'Delightful stories about the family cat with attitude.' The Guardian Praise for Judith Kerr: 'One of the best authors a child of 3+ could encounter.' The Times ""It's no surprise Judith's work is still popular. It owes nothing to the vagaries of style or fashion. Her warmth and humanity are timeless."" Michael Foreman show more"
9780007171286,About Judith Kerr,"Judith Kerr OBE was born in Berlin. Her family left Germany in 1933 to escape the rising Nazi party, and came to England. She studied at the Central School of Art and later worked as a scriptwriter for the BBC. Judith married the celebrated screenwriter Nigel Kneale in 1954. She left the BBC to look after their two children, who inspired her first picture book, The Tiger Who Came to Tea. Published in 1968 and never out of print in the fifty years since, it has become a much-loved classic and perennial bestseller. Her second book was Mog the Forgetful Cat, which was published in 1970 and has also gone on to become a beloved classic, with Mog appearing in a further 17 adventures in the years since. Judith was awarded the Booktrust Lifetime Achievement Award in 2016, and in 2019 was named Illustrator of the Year at the British Book Awards. Judith died in May 2019 at the age of 95, and her stories continue to entertain and delight generations of children. show more"
9780007586776,Review quote,"""Kerr is one of the best authors a child of 3+ could encounter."" The Times show more"
9780007586776,About Judith Kerr,"Judith Kerr OBE was born in Berlin. Her family left Germany in 1933 to escape the rising Nazi party, and came to England. She studied at the Central School of Art and later worked as a scriptwriter for the BBC. Judith married the celebrated screenwriter Nigel Kneale in 1954. She left the BBC to look after their two children, who inspired her first picture book, The Tiger Who Came to Tea. Published in 1968 and never out of print in the fifty years since, it has become a much-loved classic and perennial bestseller. Judith was awarded the Booktrust Lifetime Achievement Award in 2016, and in 2019 was named Illustrator of the Year at the British Book Awards. Judith died in May 2019 at the age of 95, and her stories continue to entertain and delight generations of children. show more"
9781405034692,About Julia Donaldson,"Julia Donaldson is the author of some of the world's best-loved children's books, including modern classics The Gruffalo and The Gruffalo's Child, which together have sold over 17 million copies worldwide, and the hugely successful What the Ladybird Heard adventures. Julia also writes fiction, including the Princess Mirror-Belle books illustrated by Lydia Monks, as well as poems, plays and songs - and her brilliant live shows are always in demand. She was Children's Laureate 2011-13 and has been honoured with a CBE for Services to Literature. Julia and her husband Malcolm divide their time between West Sussex and Edinburgh. Axel Scheffler is a star illustrator whose instantly recognizable, warm and witty illustrations have achieved worldwide acclaim and numerous awards. In addition to his picture books, Axel is the illustrator of wonderful novelty and gift books for Macmillan, such as the bestselling The Bedtime Bear, The Tickle Book and Mother Goose's Nursery Rhymes. He also illustrates the popular Pip and Posy series. Born in Hamburg, Axel now lives with his family in London. show more"
9781444902631,Review Text,Simple and delightful Teaching English (Primary Matters) 20151001 show more
9781444902631,Review quote,"Simple and delightful * Teaching English (Primary Matters) * A gentle, funny endearing story that's definitely recommended. * TheBookbag.co.uk * This is a truly delightful book: clever, moving, funny and brilliantly illustrated. * School Librarian * A gentle, funny, endearing story that's definitely recommended. * Bookbag * Witty tale with a lovely philosophical response. * Families * A brilliant book for storytelling... not to be missed. * School Librarian * show more"
9781444902631,About Fiona Roberton,"Fiona Roberton was born in Oxford and studied art and design in London and New York. She has lived and worked all over the world and is currently based in London. Fiona's debut picture book Cuckoo won the International Reading Association's Children's Book Award. She is the creator of the bestselling A Tale of Two Beasts, which has sold over 220,000 copies around the world. show more"
9781845063795,About Gillian Lobel,"Gillian Lobel was born in Coventry and read English at Manchester University. She has done a number of different jobs, from selling insurance to making and selling toys at craft fairs. She taught English for many years, as well as tutoring children with special educational needs. Award-winning illustrator Tim Warnes lives in the Dorset countryside with his wife, illustrator Jane Chapman and their two children. Tim is best known for illustrating the Little Tiger and Santa books for Little Tiger Press. show more"
9780747550785,Review quote,"Praise for Obvious Elephant ""...one of the year's most delightful picture books"" Financial Times, December 2000; ""...I'd call it One Hundred Percent Pleasure."" Observer Review, December 2000; ""...A completely enchanting and thought provoking talc."" The Guardian, November 2000 show more"
9780747550785,About Bruce Robinson,"Bruce Robinson was nominated for an Academy Award for the screenplay of The Killing Fields. He has written and directed many other films, most famously Withnail and I. show more"
9780141333748,About Lauren Child,"Lauren Child is one of today's most talented and innovative children's author/illustrators. Winner of the Nestle Smarties Book Prize and the Kate Greenaway Medal, she is best known for creating the characters Clarice Bean and the BAFTA-award-winning Charlie and Lola. She is also co-creator of The Princess and the Pea and Goldilocks and the Three Bears. Charlie and Lola is now a top-rated BBC children's television show and a huge international hit produced by Tiger Aspect Productions, one of the UK's most successful and prolific independent television producers. show more"
9781408828007,About Neil Gaiman,"Neil Gaiman, author, scriptwriter and creator of graphic novels, is British and lives in the USA. He is the only writer to have won the Newbery and Carnegie Medals for the same title - The Graveyard Book. His diverse catalogue of books includes Stardust (now a major feature film), the bestselling novel for young readers Coraline (now a major 3D-animated film), and the picture book The Wolves in the Walls, which was shortlisted for the Kate Greenaway Medal. He is also the only writer to have written an episode of Doctor Who and to have featured in an episode of The Simpsons as himself. http://www.gaimanbooks.co.uk/ @neilhimself Adam Rex grew up in Phoenix, Arizona and now lives with his wife inTucson. His first picture book, The Dirty Cowboy by Amy Timberlake, was published in 2003. His picture book Frankenstein Makes a Sandwich, a collection of stories about monsters and their problems, was a New York Times Bestseller. He has also written books for teenagers and adults including Fat Vampire and The True Meaning of Smekday. Adam received the Jack Gaughan Award for Best Emerging Artist in 2005. http://adamrex.com @MrAdamRex show more"
9781444937329,Review Text,"Laugh-aloud humour which will have young readers in fits of giggles - and improve their rhyming ability, too. It's the perfect follow-up, extending the clever idea to perfection. Parents in Touch 20180930 show more"
9781444937329,Review quote,"Laugh-aloud humour which will have young readers in fits of giggles - and improve their rhyming ability, too. It's the perfect follow-up, extending the clever idea to perfection. * Parents in Touch * The latest book in the Oi Frog! series sees the return of our favourite characters who are cheeky, adorable and ever so clever. Kes Gray and Jim Field's creation is more than a fantastically funny story - it's a book that will encourage talk, play, rhyme and laughter for everyone in the family. Younger readers will love hearing the story and older ones will enjoy the challenge of trickier vocabulary in the book. * BookTrust * The jaunty, brightly coloured illustrations make this a joy to share with both toddlers and older children. * The Irish Independent * Using the strange names and often stranger appearance of animals, this funny, rhyming, read-aloud picture book, will amuse both children and parents and perhaps inspired a few poets in the making. * The Irish Catholic * show more"
9781444937329,About Kes Gray,"Kes Gray is the bestselling author of the OI FROG AND FRIENDS series of books that has sold over 1.5 million copies and has been adapted into a theatre show. He is a multi-award-winning author with over 70 books published. He eats Ideaflakes for breakfast, spreads silliness on his toast and loves to write books that will make children laugh out loud. He has won the Sainsbury's Children's Book Award and the Laugh Out Loud Book Award and has been shortlisted for the British Book Awards. Kes is based in Essex. Jim Field is a lead-driven, pencil-pushing, 25-frames-per-second Led Zeppelin fan. He is also a hugely talented award-winning illustrator, character designer and animation director. He has worked on a variety of projects, from music videos and title sequences to advertising and books. His first picture book Cats Ahoy! won the Booktrust Roald Dahl Funny Prize and was nominated for the Kate Greenaway award. He has since illustrated a string of bestselling, multi-award-winning children's books, including Oi Frog! and The Lion Inside, as well as young fiction series Rabbit and Bear, middlegrade novels by David Baddiel and his debut author-illustrator picture book Monsieur Roscoe - On Holiday, a bilingual book that introduces first French words. He grew up in Farnborough, worked in London and now lives in Paris with his wife and young daughter. show more"
9781406304589,Review Text,"The whole book is a nicely measured brew of naive, paired-down design and warm-hearted emotion. The Independent show more"
9781406304589,Review quote,"The whole book is a nicely measured brew of naive, paired-down design and warm-hearted emotion. * The Independent * Humorous yet touching, the illustrations are a treat - bringing you face to face with the most exotic creatures in our world. * Angels and Urchins * show more"
9781406304589,About Petr Horacek,"Petr Horacek trained at the Academy of Fine Arts in Prague before becoming a graphic designer, illustrator and painter. He is the author of When the Moon Smiled and A New House for Mouse, as well as the 2002 Books for Children Newcomer Award-winning novelty titles Strawberries Are Red and What Is Black and White? Born in Czechoslovakia, Petr now lives in Worcestershire with his wife and two daughters. show more"
9781408849828,Review Text,"Crazy, chaotic fun with an array of animals as they ride all sorts of unsuitable vehicles, from the bestselling author of the hugely popular ""Mr Gum"" books. Ages: 0+. show more"
9781408849828,Review quote,"You will laugh out loud * Guardian * '... delightfully brought to life with David Tazzyman's quirky illustrations and a jaunty rhyming text. You will laugh out loud as tigers ride on trains, whales ride on bikes and giraffes go on aeroplanes' * Publishers Association * The bold, caricature style illustrations, rhyming couplets, and varying font styles add to the humour * Practical Pre-School * Everything that you could wish for in a picture book, humour, ridiculous situations and imagination stimulating scenarios. Quite frankly, this is picture book writing and illustration at its very best * Being a Mummy * David Tazzyman's scratchy style is a great match to this scatty surprising picture book' * Books for Keeps * Chaotic, crazy, fabulously funny and full of humorously energetic illustrations, this is a book that promises to evoke giggles of glee from readers fortunate enough to come across it * Eye, Eye * show more"
9781408849828,About Patricia Cleveland-Peck,"Patricia Cleveland-Peck lived in France and Ireland before settling in rural Sussex. She has published fourteen children's books and has also written adult books and plays. She now works as a travel journalist but with a young granddaughter has returned to the world of children's books with You Can't Take an Elephant on a Bus, her first book for Bloomsbury. David Tazzyman is the bestselling illustrator of the Mr Gum books (Egmont) which have won a multitude of awards, including the Roald Dahl Funny Prize. David grew up in Leicester, and studied illustration at Manchester Metropolitan University. You Can't Take an Elephant on a Bus is his first picture book for Bloomsbury. He lives in south London with his partner and their three children. show more"
9780333633397,About Rod Campbell,"Rod Campbell has been writing and illustrating children's books for over thirty five years. Best known for his classic lift-the-flap title Dear Zoo, which has sold over 2 million copies worldwide, he is also the creator of the much loved preschool character Buster. Ingeniously simple, with touches of gentle humour, Rod's books are enjoyed by children, parents and teachers alike. show more"
9781405225502,Review quote,"""The flap engineering is ingenious, the animals are cleverly illustrated by Chapman and the rich vocabulary offers some delicious variety for young listeners"" Kirkus Reviews ""The bright and fresh animal illustrations are made even more interactive thanks to the flaps hidden throughout this gem"" LoveReading4Kids show more"
