ISBN13,Review,Author
9780545261241,"We originally came across the song and loved it so much we had to get the book too. My 9 month old loves this but ideally its probably ideal for 2yrs-6yrs. If you can get hold of the country song it transforms the story, its got great rhythm and silly lyrics, I haven't meet a kid or adult alike who hasn't had a good giggle from this.",Amy Deering
9780545261241,"My daughter was all excited when she saw this book as the teacher had read it to the class at kinder with the cd. When it arrived I read it to her several times. ( I thought it was silly) but she was in histerics, especially when we watched the you-tube clip. Great value.",Jane Baker
9780545261241,"Truly awful book, the pictures are grotesque and the story crude. There are so many great childrens books out there but this is definitely not one of them!",Dr Eileen Smith
9780545261241,"Repetition and rhyming is soothing and enjoyable to children. It also increases learning in a fun way. My daughter found this story so funny and enjoyable and was quickly ""reading"" along with the book through easy recollection of the story from the rhyming. The book and the CD make her smile and laugh every read and listen, without fail. She is now learning to read and beginning to read along as well. Thoroughly enjoyable read for my daughter Thoroughly enjoyable watching the delight for Mum! Do you and your children a favour, read them this book. Many, many times.",Dianne
9780545261241,"This is so brilliant - funny, the illustrations are detailed, hilarious by the talented Katz Cowley. My daughter LOVES it. You won't be disappointed. Here in New Zealand The Wonky Donkey has become legend!",Neal Ghoshal
9781406331264,"My one-year-old absolutely loves this book... it's beautifully illustrated, showing babies from all around the world. The predictable rhythm of the book gives it a good pace, and keeps her turning the pages until the end. Highly recommend! It's one of our favs.",Rachel Chappell
9780007215997,A marvellous story of a tiger who unexpectedly knocked at the door and asked to have tea with a little girl Sophie and her mother. This book is a favourite with my daughter (as well as others we read it to). It is wonderful to read and we read it over and over again. Highly recommended.,Giselle Cooke
9780007215997,A simple funny story for reading aloud - kids would love how the tiger finishes everything that was laid out for tea.,Yvonne Lee
9781409303183,I think it's very important to share books with children for a very early age. My 10 months daughter loves these tiny books! She can turn the pages so easily!,Anita Romhalmi
9781409303183,"This collection comes in a mini-sized hard board quality packaging. The books are smaller than expected but am satisfied with the quality. The stories in each of the 6 books are rather short and concise, even simpler than Maisy's or Spot's in my opinion. My 4 years old daughter is still entice with this new addition. With a price like this that comes with free delivery half way across the globe, I give it a thumbs up!",May Wong
9780761157281,I plan to have baby and started to buy books which might explore his/her interest in reading.This is one of the books I am looking for!,shirley cheng
9780761157281,"The perfect book for the whole family. Tough enough to survive our 1 year old, full of interesting ideas for the adults and perfect for our 3 year old who is forever asking for new paper because of an imperfection added by her brother. High quaity, well written and fun.",Katie Black
9780761157281,"This is one of my favourite children's books ever. As a teacher I have read it to many children, and they love it so much I often read it more than once :) It has a great message and is the basis for many art activity ideas. Love it!!!",Jemma Elkington
9780761157281,I bought this for my 3 year old and he loves it. He has nearly memorised it. It's visually tasteful and well worded. My only hesitation was when my son thought he could make all rips beautiful (so we had to teach him not to tear books that had started with a rip). but that was only drummed in once. i recommend it for pre schoolers.,Natasha macaulay
9780761157281,"This book is amazingly beautiful, and the construction is classy, and very nice for a child to interact with. So if you love lovely things, buy this book. For me though, the problem is the text. If this was a self-help book for adults, or even late teens, then it might be appropriate to address the theme of the book (you can change your mistakes into something beautiful) in such a direct manner. For kids though, subtly, and the chance to make their own discoveries as a story progresses is the most wonderful aspect of reading. As it stands now, the book is bombastic, and yet without changing a single aspect of the page design, it really could be enchanting if the words told a story with a little heart.",Katherine Knapsey
9781406338539,"I bought this book for my daughter, but I end up reading it to every one of my friends when they come over. It's such a great book in it's simplicity and dead-pan delivery. Pure gold.",LisaMarie IORFINO
9781406338539,"This is the best kids book ever. I feel sorry for all the children that grew up before they could read this book! Excellent humour, illustration and emotion.",Sasha Rose
9780679882817,"I bought this book for my 18mth old daughter, six months later we still read it several times a week. The rhythm in it is awesome and the faster I read it, the more my daughter dances around to it. Lots of fun!",Gillian Walters
9780141385112,Received my order and am surprised that it can actually fit into my mailbox! The books are much smaller than expected - but I guess my boy would be able to hold it nicely with his hands. Hope he'll love it!,Juay Puay Yong
9780141385112,"Very tiny books, But its great for those small children hands to learn new words.",Angela Taylor
9780141385112,Very cute books but ALOT smaller then I thought they would be. I received them in the mail today and the entire set fit into the palm of my hand which will be good for my one year old but I can't see them lasting her for very long.,Jennifer
9780141385112,"My 2 year old daughter loves these books! Her favorite is Colors, she keeps pointing to the beautiful butterfly on the last 2 pages. They really keep her entertained and she also has fun putting them back into the cover folder. Her little friends want to play with them all the time! I would definitely recommend this library!",Marija Fabiani Cuk
9780152632243,"Kids will love it. Has a lyrical tone to it. Full of fascinating little details for the growing minds. A bundle of implicit values and heaps of fun! And if that's not enough, it introduces kids to Aussie fauna, geography and food culture at an early age.",Gaurav Gupta
9780152632243,"My children (25 months and 5 months) adore this book, as I did when I was a child. 'Possum Magic' is timeless in its appeal, with its lovely narrative and beautiful pictures. I purchased this particular edition for a 12 month old cousin from South Africa. It is the perfect gift from Australian relatives to overseas children. I wish 'Possum Magic' was available in board book format.",Diana Boswarva
9780152632243,For nearly 25 years Aussie children have grown up with this wonderful story. Mem Fox is a brilliant writer and this book is one of her best. It's charming and lovely to look at.,a Book Depository customer
9780152632243,This is a 'must have' for anyone with children. Such a lovely story. My children are simply enchanted from begining to end.,a Book Depository customer
9780152060305,It's a good book to help teach kids that everyone is different and that is ok,Andrew Pisano
9780152060305,I wish I read the reviews before buying this book! I was absoluately horrified to see that the pages of this book have been cropped! What is this!? A Chinese knock off!? I am so upset with the Book Depository right now! This is a beautiful book but this copy of it is horrible! Avoid at all costs!,Monika Olley
9780152060305,"Although this version of this book is the cheapest available from the Book Depository, it has substantially cropped edges. Each page has a thick, intricate border, as if the picture were in a picture frame. On every page, this border is partially, or on some pages completely cropped out. I've read it as it is supposed to be presented, so I know that this is NOT as intended by Mem Fox. Although it is potentially a plus that the picture itself is larger as a result, the variability of the cropping makes it rather unsightly. I've never seen a printing mistake this profound in a legitimately printed book, and I question the Singaporean printing house. I suggest spending a few extra dollars and buying a different version of this book. The story itself has an important message for children of inclusiveness and tolerance..",Kelly Adams
9780152060305,This book is simply a joy to read to children. It freely offers them the opportunity to question differences and helps to teach them that everyone is united. A must for every home library.,Suzanne Hurley
9780152060305,"""Another brilliant Mem Fox book. It's long been popular in our family. The artwork is captivating. The littler members of our family enjoy finding 'the flying man' in each picture. A wonderful, yet simple way of learing how we can be so similar while looking very different.""",a Book Depository customer
9780723263661,"I love this book. My little girl gets excited about opening up the flaps. It's simple, cute pictures and captures my daughters attention. Would recommend.",Jen
9780811879545,This book is the BEST.. its a must have.. its good fun for older an younger persons.. LOVED it to the moon an back xx. If I could rate this higher that 5 I would:),Shaunee Walton
9780811879545,This is one of those universally loved books that children just can't get enough of. From the age of 3 my daughter would ask to read it over and over again (to say it is know off by heart is no exaggeration). Loved still by older children (8 years). Recommend for every bookshelf,GP
9780670882786,"My mother bought this book last Christmas, for my then 17 month old daughter, as she had fond memories of reading it to me when I was small. 'Each Peach Pear Plum' has proven itself to be a classic and is highly recommended for every child's bookshelf. The illustrations, rhyme and rhythm are comfortingly familiar. I would recommend that this book is purchased in board book format for little hands.",Diana Boswarva
9780670882786,I'm buying this brilliant for my daughters as it was one of my favourites when I was a child. I can still recite the entire book word for word! The illustrations are gorgeous and the rhythm and rhyme are wonderful for developing language. A 'must have' for every family.,Elana Beal
9780670882786,"This book is a fabulous start to the ""I spy"" game. Each page has a rhyme that tells you who is hiding in the picture. Eg ""Cinderella on the stairs, I spy three bears"". The pictures are detailed enough to add interest, but not so detailed that the child cant find the character (not like Richard Scary books or Where's Wally?). We have read it so many times my daughter (2.5 years) can point to whose hiding in seconds, but this doesnt detract from her enjoyment. She likes the sense of mastery it gives her. I would say its great for 18 months to 3 years. Worth having in your collection. Gender neutral.",Roslyn Hughes
9780670882786,"I was sent this from a friend in the UK (through Book Depository) to read with my 4yo grand daughter. She loves it! We find new things in the pictures every time. And it has also lead me to read to her about Tom Thumb, Mother Hubbard, Bo Beep who are mentioned in the tale. A good choice from my friend.",Wendy SEKULOFF
9780007263899,"DARLING BOOK! MUST SEE! CUTE! CUTE! CUTE! Floyd's kite gets stuck in a tree...and ""it wouldn't come unstuck."" Not knowing what else to do he throws his shoe up to try to get the kite down... Only to have his shoe get stuck too! Floyd throws thing after thing up into the tree Read to find out what gets stuck in the tree and in what order... And to see if the kite ever does come down :) LOVED IT!",Shauna Wheelwright
9780007263899,"My students love books by Olivier Jeffers, so I had to order this one to add to our classroom library. I like that the cover doesn't show what is stuck in the tree, this ignited student predictions and interest even before the story was read!",Jenny Brennan
9781846432767,"Simple book, prob too simple for my 2.5 year old but good for younger ones.",Jane
9781846432767,"I strongly recommend this book. We are Spanish and I want my little boy to learn English as soon as possible. At the same time, I was pregnant of my daugther and I found this book really cute to explain my child what was going on (I bought the complete collection).",Eva Castells
9781846432767,"My 2 year old daughter loves this book and will have us read it to her a few times a day. Unlike many of her other books that are about animals she can relate to all the pictures - eating, bathing, changing clothes, going for walks and story time which is why I think she likes it so much. I think this book good for preparing my daughter for her new sibling because the children in the pictures could be either sex so we can address them to suit our situation. There are pictures showing baby nursing while older sibling eats, being carried while older sibling walks and words that remind me to explain why this is. Baby is also shown crying and sleeping a lot. In each picture older sibling is included in the action and in one page shown as helping wash the baby. The last two pages shows older sibling touching baby who has fallen asleep and then in the final page older sibling gets parents all to herself.",janice
9781846432767,"I have purchased a couple of books for my toddler to help prepare him for his new sibling. This book is our favourite. It has big, bright illustrations, a very simple storyline, and every page has something that my son can relate to. I really like that the baby is gender neutral, as we don't know what we are having yet. I think this is a great book for a young toddler. My son is 20 months old, so I found this simple ideas in this book are perfect for him. I am still not sure if he fully understands that there is a new baby on the way, but we read this book every day now, and he seems to be getting it a bit more.",Fiona Cahill
9781844285136,"This book is an all time family favourite. The story begins with a bus driver asking the reader to keep an eye on his bus while he attends to something and to be sure and not let the pigeon drive the bus. The pigeon, of course, tries every argument and tactic in the book to convince the reader to let him fulfill his dream of driving the bus. It is a simply presented story because it is so well told and cleverly witty that it doesn't need more. Big and little kids will get the humour as we can all relate to having behaved in a similar way to the pigeon at some stage in life when we have been denied something that we want. Having borrowed this book numerous times from the library, we bought it for our daughter who simply giggles every time this book is read, along with mum and dad. Do yourself a favour and read this.",leigh Mckechnie
9781844285136,"Complete disappointment. The illustrations are bland and completely repetitive, and the storyline is completely lacking in humour or educational purpose. This is perhaps the only book in my child's vast collection that she has not liked.",Lottos Gutierrez
9781844285136,"Our 3 year old toddler, my partner and myself absolutely love reading this book. It's one book that we never tire of reading and we ALWAYS have a giggle. Pigeon is such a character and has us in stitches with his negotiations, scheming, plotting and temper tantrums. We love how involved our son gets with the characters in the book. I know my son will be absolutely delighted to receive some of the other Mo Willems 'Pigeon' series books for Christmas.",Farrah Tate
9780312601553,"This is a lovely book to read to your child, with a beautiful sentiment attached. I am really happy to have purchased this for my 26 month old and 6 month old daughters in board book format. This book would make a wonderful gift for newborn babies. Highly recommended.",Diana Boswarva
9780312601553,"This is a wonderful book, I think I've bought 3 copies so far and still have a list of children I intend to buy it for! Every child should have this book to remind them how special they are. I've read it so many times, I think I know it by heart and yet I never tire of reading it :)",Anne-Maree
9780312601553,"This is a beautiful little board book to read to baby. We use this as part of her bedtime routine and as soon as we read this one, she snuggles right in. It's a very sweet story about how special baby is, because ""On the night you were born, the moon smiled with such wonder, the stars peeked in to see you and the night wind whispered life will never be the same. Because there had never been anyone quite like you ever before. So enchanted with you were the wind and the rain that they whispered the sound of your wonderful name! Not once had there been such eyes, such a nose! Such silly wiggly wonderful toes. When the polar bears heard, they danced until dawn. From far away places the geese flew home....."" and so it continues. it's a very sweet book and I highly recommend it",Brooke
9780312601553,I bought this book as a board book and I absolutely love to read it to my son! My favourite thing about this book is how it describes how unique and wonderful every child is. I still tear up every time I read it. I hope its the kind of book which they memorise and remember even as adults!,Zhen-Nih Jones
9780312601553,I am very happy with the book and my children like it too.,Valentina V Kotelevskaya
9780061900624,"I got this for my niece who will be welcoming a little sister some time in the next few months. It's quite cute and shows what's involved in becoming a big sister in ways a small child could understand with sweet illustrations. However, beware if giving it as a gift - it has a little advice section in the back for parents, which although is quite nice and handy, it could rub certain more opinionated parents up the wrong way..",Jurgen Stipplington
9780340903179,Really love this book - it has fantastic illustrations and is easy to read aloud to kids. Great that it teaches children (and adults too!) that worries are only as serious as we make them out to be. Definitely a book for keeps!,Yvonne Lee
9780141337425,"My mother bought this book last Christmas, for my then 17 month old daughter, as she had fond memories of reading it to me when I was small. 'Peepo' has proven itself to be a classic and is highly recommended for every child's bookshelf. The illustrations, rhyme and rhythm are comfortingly familiar and my daughter giggles in anticipation for the 'peepo' moment. I would recommend that this book is purchased in board book format for little hands.",Diana Boswarva
9780152010669,One of our most favorite books - being a board book means it survives our 18-month-old; and both kids just love the illustrations as well as the rhyming text. It flows so gently I want to lie down after reading it several times over each evening ;),Pavel Ondrejovic
9780152010669,This book marked the transition from day to night into sleep for both our boys many years ago and now I trust it will do the same for my granddaughter,Zena Carusi-Lees
9780152010669,I have been reading Time For Bed to my little girl since she was six months old and it is our every day routine now (she is 18 months old) - sometimes we do the animal noises together for each page. We have the light off at bedtime so I just say it from memory and at the end she says 'nynite' and I go out. She still likes to pick it up and look at the pictures during the day though.,Kirsten O'Callaghan
9780152010669,"I first started reading this story to my little girl when she was about nine months old. It soon became a favourite and is now very much a part of her bedtime routine, two years on. Some nights she even reads it too me (we both know it off by heart). A beautiful story which is age appropriately written to hold baby and toddlers attentions.",Danielle Lockard
9780152010669,"Lovely book - sweet rhymes (eg. ""Time for bed, little goose, little goose, The stars are out and on the loose"") and beautiful illustrations with a new Mummy and sleepy baby animal on each page. I read this every night to my 2 1/2 year old and she adores it. A quick read - 3 minutes - so good for a bed time routine. I'd recommend it for babies up to about 4 years old.",Francine
9780140569322,v,vikki
9780061900655,"Fine, except it depicts bottle feeding instead of breast feeding : (",Brooke Dekker
9780448421650,"I am in my mid-40's and I have fond memories of my Grandmother reading me this story as a child. I am a pre-school teacher now and recently re-discovered brave, naughty Ping and was so happy to re-read a story I loved so much again. I still loved his adventure! But I was worried about how my current audience of 3 and 4 yr olds would respond to it's, not PC and very traditional, story line. They were enthralled! Ping is a story that stands the test of time. My kids request ""that little duck story"" frequently now and I just love reading it every time.",kelly smith
9780448421650,"Although this was written and illustrated in the 1930s and not at all modern, it has a simply charm that never ceases to draw my children in. Actually, the historical aspect to it adds to the enjoyment of this special book, which is set in China. Ping hides to avoid trouble, only to find himself in much greater trouble - in fact - he nearly becomes a duck dinner! Fortunately help arrives before it is too late and Ping learns to face up to troubles rather than running from them.",Esther Allen
9780859537971,"Very nice, colorfull book. Just what i expected",victoria motorna
9780859537971,"I have received my books(five little duck/over in the meadow/the wheels on the bus/this old man) from book depository, I love them very much ,cuz they are wonderful singalong books for both parents and children!",shirley cheng
9781416917052,"Love this series! Great rhyme, pictures and funny story. Well worth it!",Jacinta Stone
9781416917052,Enjoyable book. My 3 yr old loves it. Great rhyming and funny.,Nicolette Hansen
9781416917052,"Both of my boys (4 1/2YO and 2YO) love this book, it is great over both age groups and certainly gets my older boy thinking about what his underpants get up to when not in use!! Well worth it!",Sarah Lamanna
9781416917052,"""My boys (ages 3 and 5 1/2) LOVED!!!! everything about this book. From the catching title to the brilliant illustrations. In particularl grannies spotty bloomers. We even had to check our pants the next morning to check no aliens were lurking unseen! Highly recommended easy to read and for them to listen to an absolute must for any child no matter their age!""",a Book Depository customer
9781416917052,"""I've just received this book as a gift for my four-month old! It's great..he squealed with joy at all the pictures, espicially at granny's spotted bloomers! Although he's not able to understand, he loved the rhyming phrases. I guess a good book is appealing to all ages..I loved it too!""",a Book Depository customer
9780545392556,"'Giraffes Can't Dance' is a bright, rhythmic book with gorgeous pictures and a good moral to the story. Highly recommended for young readers in board book format.",Diana Boswarva
9781447220145,This is a lovely book for mothers and young girls everywhere. The illustrations are lovely and the narrative discusses memories in such a way that this book could be useful when discussing the death of a loved one. My 26 month old daughter loves this book. It is highly recommended.,Diana Boswarva
9780805047905,"best book for learning colour, love it",Hani Wahab
9780805047905,"This is a brilliant book for young children with large colourful illustrations that catch their attention. The verses, although repetitive in nature, teach colours as well as animal names. Being a board book, the pages are easy for children to turn themselves and tough enough to withstand the odd chew!",Natalie PageWeir
9780805047905,"Lovely rhythming book which my son loves. Being a board book, he finds it easy to turn the pages with me.",Kym Cooper
9780746093368,1111,Tseng Shuyu
9781558585362,"Come on, this is a book about sharing and maybe some people think that the little fish giving away his scales were wrong, but dude it is a book for little KIDS. The point is to teach them to share what they have. They won't give away their hair! I read it when I was like four years old and I loved it! It's really cute and the story is very nice.",Josefina
9781558585362,"When I was a kid I read this book in the class, me being about seven at the time, and everybody loved it - we didn't really read to much into it apart from the fact that it was portraying sharing and frankly its beautifully illustrated. I think that people need to stop over thinking the books meaning because it is just about sharing. And if thats the main thing that me and others as younger kids took away from it then I'm sure that every other kid will do the same :)",Holly Watts
9781558585362,"Are you guys serious? It is about sharing. The other fish weren't his friends because he was selfish. When he wasn't selfish they became his friends. It's also about not being vain, and the pleasure of bringing joy to others. Why do people over complicate things?!!! AAARGH.",Jennie
9781558585362,"I have read many times this story and I think it is really positive. Rainbow fish thinks is very happy because is the most ""beautiful"" fish in the sea. But, what about the happiness and friends? He can see how,when he starts to share what is most important for him, the other people start to feel happy, and automatically and bit by bit he can feel the happiness.",Matilde
9781558585362,"This is a nice little story, but I agree with the previous reviewer about the morals. On one level it is about sharing which is great, but giving away his most prized possession it kind of reads that you can buy your friends. I read it to a toddler so I think it is ok at this age, but could see the issue for older children.",Anne-Maree
9781558585362,The beautiful fish starts off without any friends and unwilling to give away its beautiful scales when asked by another fish. It eventually gives its scales away to other fish and finds earns lots of friends each with one of its scales. While the moral is to promote sharing I'm not completely comfortable with how the little fish made friends by giving away its scales which is a part of the little fish. I bought this book online because it has a beautiful cover without knowing its content. Now that I have it I find myself having to explain to my child that the other fish shouldn't have asked the rainbow fish for its scales and that they should have gotten to know the rainbow fish because despite rainbow fish being different he was a nice fish and would have made a great friend and conversely friends that are bought aren't good friends...etc I don't recommend this book. Its awkward to read with long explanations.,janice
9781406313239,"I was silly and didn't read the full description, which correctly notes that this is a mini book. It is quite tiny, and the magnifying glass is definitely needed. As it is so small it is not really suitable for the younger age groups, as they can't really manipulate the magnifying glass over such a small page. Lesson - read the FULL description, don't rely on the title and the short description",karie
9781408315880,"I love this book. It is great fun, has lovely rhymes, and does a brilliant job of explaining pregnancy to little ones.",Miss M P Davidson
9780810911062,"A really lovely book about a passionate and different child, Iggy Peck. Beautiful illustrations and really well written",Zenna Nixon
9780810911062,"This book is a favourite in our household. Has also been given as gift at many birthdays. Beautiful story, fantastic illustrations. Suitable for 5 years up. Recommend highly.",GP
9780375851568,"This collection makes a great gift. It includes the following absolute, hands-down favourite Dr Seuss books: The Cat in the Hat, One Fish Two Fish Red Fish Blue Fish, Green Eggs and Ham, Hop on Pop, and Fox in Socks These books are wonderful for reading to babies and toddlers but they also come into their own when kids start learning to read.",Feliss
9781846071225,"We r not English speakers, but my 2 years old girl loves this cd!! We r listening to it in the car all the time",Olga L
9781846071225,rkm hw ry'` m r'yth hn mn bd` tmny n jdh bmSrn lHby@ shkr kl lqy'myn `ly hdh lbd` tHyty,nashwa
9781846071225,"A great CD compilation of most of our favourite childhood songs, with cute sound effects to boot. My only gripe is that the songs would sound much more appealing and lively with children's voices instead of adults'?",Yvonne Lee
9781862308251,"This is a funny book that helps with counting. I had bought for an older child, but more aimed at preschoolers.",Katrina Shaw
9780064431781,"Francine In defense of this book it was written in 1963 so things were a bit different back then. If anything, this book has become somewhat of a collectors item and one that's been around for a couple generations. I remember borrowing this book 30 years ago from my kindergarten library so I would want my kids to have and read their copy sitting on their bookshelf.",Stephen Doric
9780064431781,"Am I the only person in the world who doesn't love this book? I find it difficult to read (so little text) and not terribly good at provoking my kids imaginations. The pictures are interesting... first time around... but little to talk about after a few reads. I am very disappointed with this book, but from other reviews I know that many people love it.",Francine
9781860399138,"""I think I love this story as much as my daughter loves it. It is touching, and the pictures are the sort that children adore. The story begins quite sadly (how sad for a mother to disapprove so strongly) but the way everything works out for the best is a joy. """,a Book Depository customer
9781841210681,This was my 2.5 year old daughter & my favourite book while I was pregnant. She loved it so much she wanted to recreate the scenes of cuddling my belly etc.,Jane
9781841210681,"i saw this in the library and hired it out, it was an imediate favourite with my 21 month old and i imediatly baught it. we read it every day and she loves it and is now understanding alot more about a baby being in mummys tummy and also that eventually it will come out and she will be a big sister. I thought she was to young to really grasp it however since reading this with her it has really sunk in.",mrs emma louise wilkinson
9781841210681,I have been reading this to my toddler regularly and it has been a hit with her. Nice rhyming verses and simple illustrations. Would recommend it to any expectant parent.,A book depository customer
9781841210681,"""As did most of the previous reviewers we bought this book when we were expecting another baby. It does help the child or toddler grasp the concept of what's going on, while at the same time, also being simply a great and entertaining story. I think our daughter enjoyed the fact that the story might have been written about her.""",a Book Depository customer
9780679882824,It's a shortened version of the original book. The book does not contain 30 pages as specified. The book's content was cut to half and as a result it does not rhyme as weel as it should. I wish I could get my money back.,Gil Kulish
9780140506396,"a lovely rhyming book, which is easy to read to entertain wee ones. Think they will love the illustrations when they are a bit older too",Mariko
