isbn,name_z,name_x,review_count,min_age,max_age,name_y,rating,Most Popular Series,Best Seller Series,Most Searched Tags
B0796DCXT3,Science & Learning ,"Baby Loves Green Energy! (Baby Loves Science Book 7) (November 6, 2018)",328,0,1,Baby Loves,4.8,,,S.T.E.A.M. Learning
B073CD27CW,Science & Learning ,"Baby Loves Thermodynamics! (Baby Loves Science Book 3) (September 5, 2017)",191,0,1,Baby Loves,4.5,,,S.T.E.A.M. Learning
B08P4726RR,Science & Learning ,"Baby Loves Angular Momentum on Hanukkah! (Baby Loves Science) (August 24, 2021)",31,0,1,Baby Loves,4.7,,,S.T.E.A.M. Learning
9781409549710,Sound Books,Babys Very First Noisy Nursery Rhymes,"3,715",0,1,Baby's Very First Books,4.6,,,Sound Books
9781409507826,Sound Books,Baby'S Very First Noisy Book - Usborne,375,0,1,Baby's Very First Books,4.4,,,Sound Books
9781409581550,Sound Books,"Baby's very first noizy book trains (January 15, 2015)",31,0,1,Baby's Very First Books,4.1,,,Sound Books
9781474933414,Sound Books,"Night Sounds (September 22, 2022)","1,384",0,1,Noisy Books,4.8,,,Sound Books
9781409551430,Sound Books,Noisy Bottoms (Noisy Books),699,0,1,Noisy Books,4.6,,,
9781474936811,Sound Books,"Woodland Sounds (Noisy Books) (October 4, 2018)",654,0,1,Noisy Books,4.7,,,
9780794533342,Sound Books,Noisy Orchestra,451,0,1,Noisy Books,4.7,,,
B007YWENBY,Sound Books,Noisy Zoo,348,0,1,Noisy Books,4.5,,,Sound Books
9781409507697,Sound Books,"Usborne Noisy Touchy-Feely Santa. Illustrated by Janet Samuel (September 1, 2010)",234,0,1,Noisy Books,4.7,,,
9781409507734,Sound Books,Noisy Train Book (Farmyard Tales),61,0,1,Noisy Books,4.6,,,
9781409507789,Sound Books,Noisy Robots (Noisy Books),16,0,1,Noisy Books,4.1,,,
9781409523147,Sound Books,"Usborne Noisy Numbers (January 1, 2011)",12,0,1,Noisy Books,4.1,,,
9781409564751,Sound Books,Noisy Circus (Usborne Noisy Books),10,0,1,Noisy Books,3.9,,,
9781409507802,Sound Books,Snuggletime Rhymes Night Night Baby Sound Book (Noisy Books),5,0,1,Noisy Books,3.4,,,
9781474948500,Sound Books,"Zoo Sounds (August 14, 2019)",853,0,1,Sound Books,4.7,,,
9781474967556,Sound Books,"Winter Wonderland Sound Book (October 3, 2019)",485,0,1,Sound Books,4.8,,,
9781474990042,Sound Books,"Seashore Sounds (Sound Books) (May 27, 2021)",260,0,1,Sound Books,4.8,,,
9781474976749,Sound Books,Bird Sounds,198,0,1,Sound Books,4.8,,,
9781474991803,Sound Books,"Wild Animals Sound Book (Sound Books) (January 20, 2022)",58,0,1,Sound Books,4.6,,,
9780756634681,Touch & Feel,"Baby Touch and Feel: Animals (January 21, 2008)","11,149",0,1,Baby Touch and Feel,4.7,,,Touch & Feel
B00BR9Y040,Touch & Feel,Trucks (BABY TOUCH & FEEL) by DK Publishing (Brdbk Edition) [Boardbook(2008)],"2,982",0,1,Baby Touch and Feel,4.8,,,Touch & Feel
9780756645113,Touch & Feel,"Baby Touch and Feel: Bedtime (December 22, 2008)","2,914",0,1,Baby Touch and Feel,4.7,,,Touch & Feel
B01K9251VQ,Touch & Feel,Baby Touch and Feel Bunny by DK (2012-01-19),"2,159",0,1,Baby Touch and Feel,4.8,,,
B0184W654K,Touch & Feel,"Baby Touch and Feel: Puppies and Kittens (Baby Touch & Feel) by Dorling Kindersley(2013-03-05) (September 1, 2008)","2,009",0,1,Baby Touch and Feel,4.7,,,
9781465414311,Touch & Feel,"Baby Touch and Feel: Happy Birthday (September 16, 2013)","1,887",0,1,Baby Touch and Feel,4.7,,,
9781465401625,Touch & Feel,"Baby Touch and Feel: Splish! Splash! (December 17, 2012)",827,0,1,Baby Touch and Feel,4.7,,,
B00N4GWJ9C,Touch & Feel,By DK Publishing Baby Touch and Feel: Fluffy Animals (BABY TOUCH & FEEL) (Brdbk),582,0,1,Baby Touch and Feel,4.8,,,
9781465401618,Touch & Feel,"Baby Touch and Feel: Mealtime (BABY TOUCH & FEEL) (December 17, 2012)",436,0,1,Baby Touch and Feel,4.7,,,
B00J5SGKEI,Touch & Feel,Baby Touch and Feel: Wild Animals,431,0,1,Baby Touch and Feel,4.6,,,
9781465414328,Touch & Feel,"Baby Touch and Feel Counting (September 16, 2013)",411,0,1,Baby Touch and Feel,4.6,,,
9780756643010,Touch & Feel,"Baby Touch and Feel: Baby Animals (December 7, 2009)",317,0,1,Baby Touch and Feel,4.7,,,
9780756686888,Touch & Feel,"Baby Touch and Feel: Cuddly Animals (August 15, 2011)",302,0,1,Baby Touch and Feel,4.7,,,
B00N4FNBUY,Touch & Feel,"By DK Publishing Bathtime (BABY TOUCH & FEEL) (Brdbk) (December 22, 2009)",211,0,1,Baby Touch and Feel,4.3,,,
9780756689865,Touch & Feel,"Baby Touch and Feel: Farm Animals (BABY TOUCH & FEEL) (December 19, 2011)",67,0,1,Baby Touch and Feel,4.5,,,
9781465416711,Touch & Feel,"Baby Touch and Feel: Roar! Roar! (BABY TOUCH & FEEL) (December 23, 2013)",57,0,1,Baby Touch and Feel,4.6,,,
B00ZQC8EI2,Touch & Feel,Touch and Feel: 123 (Touch & Feel) by DK Publishing (2013) Board book,53,0,1,Baby Touch and Feel,3.8,,,
9780756689919,Touch & Feel,"Touch and Feel Baby Animals (December 19, 2011)",39,0,1,Baby Touch and Feel,4.7,,,
B01F7Y7HL8,Touch & Feel,Baby's Very First Touchy-feely Book (Usborne Touchy Feely Books),"1,133",0,1,Baby's Very First Books,4.7,,,
9781409556626,Touch & Feel,Babys Very First Touchy-Feely Lift Flap,827,0,1,Baby's Very First Books,4.6,,,
9781409516972,Touch & Feel,"Baby's Very First Touchy-Feely Christmas Book (August 30, 2010)",309,0,1,Baby's Very First Books,4.6,,,
9781409522959,Touch & Feel,Baby's Very First Touchy-Feely Animals Book (Baby's Very First Touchy-Feely Books),189,0,1,Baby's Very First Books,4.6,,,
9781409565116,Touch & Feel,"Baby's very touchy-feely colours play book (June 12, 2014)",131,0,1,Baby's Very First Books,4.6,,,
B011T6LJ1C,Touch & Feel,Baby's Very First Touchy-feely Lift-the-flap Playbook by Fiona Watt (1-Apr-2013) Board book,88,0,1,Baby's Very First Books,4.4,,,
9780241959565,Touch & Feel,Touch And Feel Playbook (The Very Hungry Caterpillar) [Paperback] Eric Carle,2063,0,1,Eric Carle,4.6,1,,Touch & Feel
9781534474932,Touch & Feel,You'Re My Little Baby: A Touch-And-Feel Book (The World Of Eric Carle),1433,0,1,Eric Carle,4.9,1,,
9781509883684,Touch & Feel,"London (My First Touch and Find) (January 1, 2019)",126,0,1,My First Touch and Find,4.7,,,
9781509852581,Touch & Feel,Zoo (My First Touch and Find),66,0,1,My First Touch and Find,4.5,,,Touch & Feel
9781529016642,Touch & Feel,Baby Animals,41,0,1,My First Touch and Find,4.6,,,Touch & Feel
9781529016680,Touch & Feel,Emergency,14,0,1,My First Touch and Find,4.1,,,
9781789478877,Touch & Feel,"Never Touch a Porcupine! (September 1, 2020)","5,296",0,1,Never Touch a,4.9,1,,Touch & Feel
9781789478860,Touch & Feel,"Never Touch a Shark! (September 1, 2020)","3,964",0,1,Never Touch a,4.8,1,,Touch & Feel
9781788431644,Touch & Feel,"Never Touch a Spider (August 28, 2018)","3,016",0,1,Never Touch a,4.9,1,,Touch & Feel
9781789478884,Touch & Feel,"Never Touch a Polar Bear! (September 1, 2020)","2,457",0,1,Never Touch a,4.9,1,,Touch & Feel
9781789477450,Touch & Feel,"Never Touch a Panda! (September 1, 2020)","1,357",0,1,Never Touch a,4.9,1,,
9781789478891,Touch & Feel,"Never Touch a Tiger! (September 1, 2020)","1,327",0,1,Never Touch a,4.9,1,,
9781788437011,Touch & Feel,"NEVER touch a hedgehog (January 1, 2019)",586,0,1,Never Touch a,4.8,,,
9781789479560,Touch & Feel,"Never Touch a Crocodile! (September 1, 2020)",555,0,1,Never Touch a,4.8,,,
9781789479775,Touch & Feel,"Never Touch a Snake! (January 1, 2021)",366,0,1,Never Touch a,4.8,,,
9781789473902,Touch & Feel,"Never Touch a Shark! Sticker Activity Book (February 1, 2020)",80,0,1,Never Touch a,4.6,,,
9781789478945,Touch & Feel,"Never Touch A Shark Book and Jigsaw Boxset (January 8, 2020)",5,0,1,Never Touch a,4,,,
9780746041833,Touch & Feel,"That's Not My Kitten : Its Ears Are Too Soft (December 31, 2000)","1,648",0,1,THAT'S NOT MY,4.7,,,Touch & Feel
B00NIBVMHS,Touch & Feel,That's Not My Teddy by Fiona Watt (2007) Board book,"1,608",0,1,THAT'S NOT MY,4.8,,,Touch & Feel
B005ONI442,Touch & Feel,"ANIMAL FUN by Watt, Fiona ( Author ) on Jun-01-2008[ Hardcover ]",567,0,1,THAT'S NOT MY,4.7,,,
9781409549833,Touch & Feel,That's Not My Panda. Written by Fiona Watt (Usborne Touchy-Feely Books),555,0,1,THAT'S NOT MY,4.8,,,
B01K8ZST0E,Touch & Feel,That's Not My Lamb by Fiona Watt (2013-02-01),537,0,1,THAT'S NOT MY,4.8,,,
B01N90ZEWX,Touch & Feel,That's Not My Pirate...(Usborne Touchy-Feely Books) by Fiona Watt (2007-06-05),411,0,1,THAT'S NOT MY,4.9,,,
B0074B95WW,Touch & Feel,that's-not-my-polar-bear,354,0,1,THAT'S NOT MY,4.8,,,
9780746051597,Touch & Feel,"That's Not My Bear (December 31, 2002)",273,0,1,THAT'S NOT MY,4.7,,,
B000K2AYGS,Touch & Feel,That's Not My Robot,250,0,1,THAT'S NOT MY,4.7,,,
9781409506263,Touch & Feel,"That's not my baby... (September 25, 2009)",247,0,1,THAT'S NOT MY,4.6,,,
9781409504436,Touch & Feel,"That's not my frog... (March 27, 2008)",162,0,1,THAT'S NOT MY,4.8,,,
9780794521783,Touch & Feel,That's Not My Monkey... (Usborne Touchy-Feely Books),128,0,1,THAT'S NOT MY,4.6,,,
B01FGMSQWK,Touch & Feel,That's Not My Pony (Usborne Touchy Feely) by Fiona Watt (2007-01-03),94,0,1,THAT'S NOT MY,4.6,,,
9780794525057,Touch & Feel,That's Not My Frog... (Usborne Touchy-Feely Books),12,0,1,THAT'S NOT MY,4.8,,,
9780756658410,Vehicles & Transportation,"Baby Touch and Feel: Things That Go (December 7, 2009)",372,0,1,Baby Touch and Feel,4.7,,,
9780756671327,Vehicles & Transportation,"Baby Touch and Feel: Tractor (November 29, 2010)",339,0,1,Baby Touch and Feel,4.8,,,
9781409522904,Vehicles & Transportation,Baby's Very First Noisy Book Things that Go,314,0,1,Baby's Very First Books,4.5,,,Sound Books
B0966CSBDB,Vehicles & Transportation,"Nerdy Babies: Transportation (July 13, 2021)",96,0,1,Nerdy Babies,4.9,,,
9781409535157,Vehicles & Transportation,Noisy Diggers,317,0,1,Noisy Books,4.6,,,
B00E32KD08,Vehicles & Transportation,Pop-Up Peekaboo! Things That Go: Pop-Up Surprise Under Every Flap!,"2,359",0,1,Pop-Up Peekaboo!,4.8,,,Pop-Up Books
9780746056622,Vehicles & Transportation,"That's Not My Car (February 29, 2004)",974,0,1,THAT'S NOT MY,4.8,,,
B006CNULAI,Vehicles & Transportation,That's Not My Train... (Usborne Touchy-Feely Books),585,0,1,THAT'S NOT MY,4.7,,,
9780746048139,Vehicles & Transportation,That's Not My Truck... (Usborne Touchy-Feely Books),306,0,1,THAT'S NOT MY,4.7,,,
9780553520989,Vehicles & Transportation,"Where Do Steam Trains Sleep at Night? (Where Do...Series) (May 24, 2016)","2,427",0,1,Where Do.,4.9,1,,Vehicles
9780399554483,Vehicles & Transportation,"Where Do Jet Planes Sleep at Night? (Where Do...Series) (May 16, 2017)","1,506",0,1,Where Do.,4.8,1,,Vehicles
9781524765750,Vehicles & Transportation,"Where Do Speedboats Sleep at Night? (Where Do...Series) (June 4, 2019)","1,145",0,1,Where Do.,4.8,1,,Vehicles
9780593384749,Weathers & Season,The Very Hungry Caterpillar'S First Summer (The World Of Eric Carle),56816,0,1,Eric Carle,4.9,1,Global Bestseller,Animal Stories
B00BR9Y7RU,Weathers & Season,Baby Loves Summer!: A Karen Katz Lift-the-Flap Book (Karen Katz Lift-the-Flap Books),"1,011",0,1,Karen Katz Lift-the-Flap Books,4.8,1,,
B01K2VZSYY,Weathers & Season,Baby Loves Spring!: A Karen Katz Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) by Karen Katz (2012-01-03),579,0,1,Karen Katz Lift-the-Flap Books,4.9,,,
9781442452091,Weathers & Season,"Baby Loves Fall!: A Karen Katz Lift-the-Flap Book (Karen Katz Lift-The-Flap Books) (August 13, 2013)",463,0,1,Karen Katz Lift-the-Flap Books,4.9,,,
9780670016518,Weathers & Season,"Little Owl's Snow (December 4, 2018)","1,621",0,1,Little Owl,4.8,,,
9780140501827,Weathers & Season,The Snowy Day,"9,821",0,1,Picture Puffin Books,4.9,,Teacher Pick,
B0160FADDC,,"(Baby's Very First Big Play Book (Baby's Very First Books): 1) [By: Fiona Watt] [Dec, 2013]",95,0,1,Baby's Very First Books,4.6,,,
9781409535751,,"Babies (November 1, 2011)",80,0,1,Baby's Very First Books,4.5,,,
9781409581710,,"Baby's Very First Cloth Book (Baby's Very First Books) (March 26, 2015)",54,0,1,Baby's Very First Books,4.5,,,
9781409581277,,Babys Very First Slide & See Farm,34,0,1,Baby's Very First Books,4.7,,,
9781409581536,,"Touchy Feely Fingertrail Play Book (Babys Very First Books) (July 1, 2014)",14,0,1,Baby's Very First Books,4.7,,,
9781452109206,,"Steam Train, Dream Train (Easy Reader Books, Reading Books for Children) (Goodnight, Goodnight Construction Site)","3,269",0,1,"Steam Train, Dream Train",4.8,,New York Times Bestseller,Vehicles
B09K3MZTZ4,,"Where Do Diggers Take Vacation? (Where Do...Series) (May 17, 2022)",143,0,1,Where Do.,4.9,,,
9780241446959,Bedtime Stories,The Wonderful Things You Will Be,"26,859",0,2,Emily Winfield Martin,4.7,,New York Times Bestseller,Bedtime Stories
B08KWRZPSY,Bedtime Stories,"Sweet Dreams Little One: A Bedtime Lullaby and Goodnight Book for Toddlers and Kids (Welcome Little One Baby Gift Collection) (March 2, 2021)",537,0,2,Welcome Little One Baby Gift Collection,4.8,,,
9780689829598,Family Stories,"Papa, Please Get The Moon For Me",2248,0,2,Eric Carle,4.6,1,,Family Time
9781408324387,Family Stories,I Love My Daddy,1190,0,2,Giles Andreae,4.8,,,Family Time
9781408356616,Family Stories,I Love My Mummy,861,0,2,Giles Andreae,4.7,,,Family Time
9781408350638,Family Stories,I Love My Grandad Board Book,592,0,2,Giles Andreae,4.8,,,
9781484734094,Family Stories,I Love My Grandma,464,0,2,Giles Andreae,4.8,,,Family Time
9781416974628,Family Stories,Peek a Baby,975,0,2,Karen Katz Lift-the-Flap Books,4.8,1,,
B007CKYNT0,Family Stories,"Grandpa and Me: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) (May 1, 2004)",650,0,2,Karen Katz Lift-the-Flap Books,4.8,,,
9780689835612,Family Stories,"Where is Baby's Mommy? (April 1, 2001)",618,0,2,Karen Katz Lift-the-Flap Books,4.8,,,
9780689849060,Family Stories,"Daddy and Me (Karen Katz Lift-the-Flap Books) (May 1, 2003)",554,0,2,Karen Katz Lift-the-Flap Books,4.7,,,Family Time
9780670061983,Family Stories,"Llama Llama Misses Mama (March 19, 2009)","4,099",0,2,Llama Llama (Picture Books),4.9,1,,Family Time
9780140564419,Family Stories,Peter's Chair (Picture Puffin Books),"1,075",0,2,Picture Puffin Books,4.9,,,
9780805092448,First Words,"Brown Bear, Brown Bear, What Do You See? My First Reader (July 20, 2010)","51,488",0,2,Brown Bear and Friends,4.9,,Global Bestseller,
9780805092455,First Words,"Polar Bear, Polar Bear, What Do You Hear? My First Reader (July 20, 2010)","9,313",0,2,Brown Bear and Friends,4.8,,Global Bestseller,Animal Stories
9780805092929,First Words,"Panda Bear, Panda Bear, What Do You See? (My First Reader) (January 18, 2011)","3,717",0,2,Brown Bear and Friends,4.8,,Teacher Pick,Animal Stories
9780805092912,First Words,"Baby Bear, Baby Bear, What Do You See? (My First Reader) (January 18, 2011)","3,299",0,2,Brown Bear and Friends,4.9,,Editor Pick,Animal Stories
9780241135907,First Words,"The Very Busy Spider [Board Book] Carle, Eric",5928,0,2,Eric Carle,4.8,1,Teacher Pick,
9780399173141,First Words,Dream Snow,1679,0,2,Eric Carle,4.7,1,,
9781250152329,First Words,"Brown Bear, Brown Bear, What Do You See? / Oso Pardo, Oso Pardo, ?Que Ves Ahi? (Bilingual Board Book - English / Spanish)",1239,0,2,Eric Carle,4.9,1,,
9780399236051,First Words,Today Is Monday Board Book,950,0,2,Eric Carle,4.7,,,
B00SCSN3JM,First Words,By Karen Katz Where Is Baby's Beach Ball?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) (Ltf Brdbk) [Board book],554,0,2,Karen Katz Lift-the-Flap Books,4.8,,,
B01F9Q6V34,First Words,Where Is Baby's Dreidel?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) by Karen Katz (2007-09-25),292,0,2,Karen Katz Lift-the-Flap Books,4.8,,,
B007CKYOIA,First Words,"What Does Baby Say?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) (November 16, 2004)",129,0,2,Karen Katz Lift-the-Flap Books,4.4,,,
9781465468390,First Words,"Pop-Up Peekaboo: First Words (March 6, 2018)",920,0,2,Pop-Up Peekaboo!,4.8,,,
9781523508136,Goodnight Books,"Dinosnores (Boynton on Board) (September 3, 2019)","3,831",0,2,Boynton on Board,4.9,1,Editor Pick,
B00HTJWZU8,Goodnight Books,"By Sandra Boynton - Pajama Time! (None) (3.2.2000) (April 1, 2000)","3,670",0,2,Boynton on Board,4.9,1,,
9781523513604,Goodnight Books,"Jungle Night (comes with 2 free audio downloads, Yo-Yo Ma, cello) (Boynton on Board) (March 23, 2021)","1,104",0,2,Boynton on Board,4.8,1,,
9780761119760,Goodnight Books,"Hey! Wake Up! (Boynton on Board) (April 1, 2000)",656,0,2,Boynton on Board,4.8,,,
9781406373226,Goodnight Books,Goodnight Everyone,421,0,2,Chris Haughton,4.5,,,Bedtime Stories
9780449810804,Goodnight Books,Dream Animals: A Bedtime Journey,"1,487",0,2,Emily Winfield Martin,4.7,,,Bedtime Stories
9780374390198,Goodnight Books,"If Animals Kissed Good Night (September 13, 2022)","72,545",0,2,If Animals Kissed Good Night,4.8,,Global Bestseller,Bedtime Stories
B07GGRDK92,Goodnight Books,"Big Kid Bed (Leslie Patricelli Board Books) (September 4, 2018)",805,0,2,Leslie Patricelli Board,4.7,,,
B01MU0MM3J,Goodnight Books,"Nighty-Night (Leslie Patricelli Board Books) (January 3, 2017)",743,0,2,Leslie Patricelli Board,4.8,,,
9781328852137,Goodnight Books,"Good Night, Little Blue Truck (October 15, 2019)","15,308",0,2,Little Blue Truck,4.9,1,Global Bestseller,Bedtime Stories
9780670012954,Goodnight Books,"Little Owl's Night (September 1, 2011)","2,271",0,2,Little Owl,4.8,,,Bedtime Stories
9780670016501,Goodnight Books,"Little Owl's Day (September 16, 2014)",887,0,2,Little Owl,4.9,,,
B008NWZJO4,Goodnight Books,"Night-Night, Little Pookie [NIGHT NIGHT LITTLE POOKIE-BOAR] [Board Books]","1,125",0,2,Little Pookie,4.9,1,,
9780451469908,Goodnight Books,"Llama Llama Red Pajama: Gift Edition (October 21, 2014)","11,731",0,2,Llama Llama (Picture Books),4.8,1,,Animal Stories
B01K95KM8K,Goodnight Books,Pop-up Peekaboo Bedtime by DK (2014-07-01),"2,839",0,2,Pop-Up Peekaboo!,4.8,,,Pop-Up Books
9780517709771,Goodnight Books,Baby Beluga (Raffi Songs to Read),"3,379",0,2,Raffi,4.7,,Editor Pick,
9781526382344,Goodnight Books,"Goodnight, Aliens! (Space Baby) (April 2, 2020)",63,0,2,Space Baby,4.8,,,
B08WJVC4X1,Hugs & Kisses,"Bananas for You! (A Hello!Lucky Book) (December 28, 2021)",291,0,2,A Hello!Lucky Book,4.9,,,
9780761130673,Hugs & Kisses,"Snuggle Puppy! (Boynton on Board) (May 22, 2003)","6,901",0,2,Boynton on Board,4.9,1,,Animal Stories
9781523510214,Hugs & Kisses,"Your Nose! (Boynton on Board) (March 31, 2020)","1,351",0,2,Boynton on Board,4.7,1,,
